GCF_048571535.1;protein_3969,GCF_053078305.1;protein_3474,GCF_024300685.1;protein_2308,GCF_027925785.1;protein_2274,GCF_048571775.1;protein_3543,,GCF_005221885.1;protein_3610,GCF_048571635.1;protein_3687,GCF_000008865.2;protein_1139,GCF_048571365.1;protein_3926,GCF_048568955.1;protein_3592,GCF_048571565.1;protein_1845,GCF_003018455.1;protein_1847,GCF_033971045.1;protein_0,GCF_003018035.1;protein_5756,GCF_053078305.1;protein_1865,GCF_027925825.1;protein_1356,GCF_048571615.1;protein_3563,GCF_048571645.1;protein_1739,GCF_048571815.1;protein_3653,GCF_048568945.1;protein_1846,GCF_048571415.1;protein_4121,GCF_025995675.1;protein_3376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCF_048571775.1;protein_3542,GCF_048571535.1;protein_3968,GCF_053078305.1;protein_1866,,GCF_005221885.1;protein_3609,GCF_027925825.1;protein_1357,GCF_033971045.1;protein_1,GCF_025995675.1;protein_3375,GCF_024300685.1;protein_2309,GCF_003018455.1;protein_1848,GCF_048571635.1;protein_3686,GCF_048571615.1;protein_3562,GCF_048568945.1;protein_1847,GCF_048568955.1;protein_3591,GCF_027925785.1;protein_2273,GCF_048571365.1;protein_3925,GCF_053078305.1;protein_3473,GCF_048571415.1;protein_4120,GCF_048571565.1;protein_1846,GCF_048571645.1;protein_1740,GCF_000008865.2;protein_1140,GCF_003018035.1;protein_5757,GCF_048571815.1;protein_3652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCF_033971045.1;protein_10,,GCF_025995675.1;protein_3365,,GCF_003018455.1;protein_1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GCF_048571535.1;protein_3952,,,,,,,,,,,,,,,,,GCF_048571415.1;protein_4111,,,,,GCF_003018035.1;protein_5768,,,GCF_005221885.1;protein_3600,,GCF_048571365.1;protein_3909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCF_033971045.1;protein_100,GCF_003018555.1;protein_4624,GCF_025995675.1;protein_3273,GCF_048568955.1;protein_1651,GCF_003018455.1;protein_1946,GCF_048571565.1;protein_1944,GCF_048571525.1;protein_4130,GCF_003018575.1;protein_355,GCF_053078305.1;protein_1777,GCF_044324875.1;protein_1773,GCF_048571685.1;protein_4084,GCF_041884965.1;protein_1565,GCF_003966465.1;protein_3245,GCF_000008865.2;protein_2945,GCF_027925505.1;protein_3292,GCF_055379255.1;protein_3126,GCF_048571515.1;protein_4106,GCF_055386975.1;protein_3239,GCF_048571645.1;protein_1838,GCF_048571315.1;protein_1680,GCF_011996085.1;protein_3978,GCF_004358365.1;protein_4575,GCF_013357365.1;protein_5193,GCF_048571615.1;protein_1693,GCF_027925825.1;protein_3405,GCF_048571805.1;protein_1604,GCF_049266435.1;protein_1518,GCF_048571835.1;protein_2915,GCF_041879485.1;protein_3990,,GCF_048571655.1;protein_4097,GCF_000010385.1;protein_2548,GCF_027925685.1;protein_3300,GCF_027925785.1;protein_3206,GCF_027925565.1;protein_3331,,GCF_048568945.1;protein_1945,GCF_048571535.1;protein_3863,GCF_051012485.1;protein_1947,GCF_027925805.1;protein_3415,GCF_037539565.1;protein_1851,GCF_024300685.1;protein_4152,GCF_048571455.1;protein_4058,GCF_048568995.1;protein_1742,,GCF_048571785.1;protein_3944,GCF_048571775.1;protein_1705,GCF_003018895.1;protein_3517,GCF_003018135.1;protein_343,,GCF_027925845.1;protein_3292,GCF_048571815.1;protein_1741,GCF_003018795.1;protein_2125,GCF_048568975.1;protein_1742,GCF_048571415.1;protein_4021,GCF_048571795.1;protein_4075,GCF_052884615.1;protein_1511,GCF_014058445.2;protein_1595,GCF_048571305.1;protein_4168,GCF_003018035.1;protein_5857,GCF_049265285.1;protein_1635,GCF_048571425.1;protein_4075,GCF_005221885.1;protein_1611,GCF_048571575.1;protein_1625,GCF_048571365.1;protein_3820,GCF_055380415.1;protein_3303,GCF_004358405.1;protein_1681,GCF_003018055.1;protein_1823,GCF_048569015.1;protein_4106,GCF_000019645.1;protein_2366,GCF_048571635.1;protein_2294,GCF_048571475.1;protein_1588,GCF_048569055.1;protein_3969,GCF_048571625.1;protein_1688,GCF_032382315.1;protein_1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCF_033971045.1;protein_1000,GCF_003018555.1;protein_3747,GCF_025995675.1;protein_2448,GCF_048568955.1;protein_2607,GCF_003018455.1;protein_2763,GCF_048571565.1;protein_2761,GCF_048571525.1;protein_3311,GCF_003018575.1;protein_1165,GCF_053078305.1;protein_2601,GCF_044324875.1;protein_3090,GCF_048571685.1;protein_3218,GCF_041884965.1;protein_2442,GCF_003966465.1;protein_2370,GCF_000008865.2;protein_2223,GCF_027925505.1;protein_2202,GCF_055379255.1;protein_2290,GCF_048571515.1;protein_3219,GCF_055386975.1;protein_2428,GCF_048571645.1;protein_2781,GCF_048571315.1;protein_3048,GCF_011996085.1;protein_2612,GCF_004358365.1;protein_5394,GCF_013357365.1;protein_407,GCF_048571615.1;protein_2510,GCF_027925825.1;protein_2637,GCF_048571805.1;protein_2793,GCF_049266435.1;protein_2459,GCF_048571835.1;protein_3735,GCF_041879485.1;protein_3126,GCF_000210475.1;protein_1809,GCF_048571655.1;protein_3232,GCF_000010385.1;protein_1816,GCF_027925685.1;protein_2428,GCF_027925785.1;protein_2439,GCF_027925565.1;protein_2512,GCF_002853715.1;protein_2188,GCF_048568945.1;protein_2763,GCF_048571535.1;protein_3081,GCF_051012485.1;protein_2770,GCF_027925805.1;protein_2534,GCF_037539565.1;protein_1005,GCF_024300685.1;protein_3331,GCF_048571455.1;protein_3237,GCF_048568995.1;protein_2607,GCF_003697165.2;protein_2224,GCF_048571785.1;protein_5697,GCF_048571775.1;protein_2474,GCF_003018895.1;protein_4336,GCF_003018135.1;protein_1156,GCF_000013265.1;protein_1775,GCF_027925845.1;protein_2455,GCF_048571815.1;protein_2577,GCF_003018795.1;protein_1309,GCF_048568975.1;protein_2828,GCF_048571415.1;protein_3154,GCF_048571795.1;protein_3132,GCF_052884615.1;protein_2454,GCF_014058445.2;protein_2961,GCF_048571305.1;protein_3299,GCF_003018035.1;protein_811,GCF_049265285.1;protein_2459,GCF_048571425.1;protein_3254,GCF_005221885.1;protein_2373,GCF_048571575.1;protein_2498,GCF_048571365.1;protein_3040,GCF_055380415.1;protein_2490,GCF_004358405.1;protein_870,GCF_003018055.1;protein_954,GCF_048569015.1;protein_3290,GCF_000019645.1;protein_1453,GCF_048571635.1;protein_3125,GCF_048571475.1;protein_2409,GCF_048569055.1;protein_3152,GCF_048571625.1;protein_868,GCF_032382315.1;protein_2668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCF_033971045.1;protein_1001,GCF_003018555.1;protein_3746,GCF_025995675.1;protein_2447,GCF_048568955.1;protein_2608,GCF_003018455.1;protein_2764,GCF_048571565.1;protein_2762,GCF_048571525.1;protein_3310,GCF_003018575.1;protein_1166,GCF_053078305.1;protein_2602,GCF_044324875.1;protein_3089,GCF_048571685.1;protein_3217,GCF_041884965.1;protein_2443,GCF_003966465.1;protein_2369,GCF_000008865.2;protein_2222,GCF_027925505.1;protein_2201,GCF_055379255.1;protein_2289,GCF_048571515.1;protein_3218,GCF_055386975.1;protein_2427,GCF_048571645.1;protein_2782,GCF_048571315.1;protein_3047,GCF_011996085.1;protein_2613,GCF_004358365.1;protein_5395,GCF_013357365.1;protein_408,GCF_048571615.1;protein_2511,GCF_027925825.1;protein_2636,GCF_048571805.1;protein_2792,GCF_049266435.1;protein_2460,GCF_048571835.1;protein_3736,GCF_041879485.1;protein_3125,GCF_000210475.1;protein_1808,GCF_048571655.1;protein_3231,GCF_000010385.1;protein_1815,GCF_027925685.1;protein_2427,GCF_027925785.1;protein_2438,GCF_027925565.1;protein_2511,GCF_002853715.1;protein_2189,GCF_048568945.1;protein_2764,GCF_048571535.1;protein_3080,GCF_051012485.1;protein_2771,GCF_027925805.1;protein_2533,GCF_037539565.1;protein_1004,GCF_024300685.1;protein_3330,GCF_048571455.1;protein_3236,GCF_048568995.1;protein_2608,GCF_003697165.2;protein_2225,GCF_048571785.1;protein_5698,GCF_048571775.1;protein_2475,GCF_003018895.1;protein_4337,GCF_003018135.1;protein_1157,GCF_000013265.1;protein_1774,GCF_027925845.1;protein_2454,GCF_048571815.1;protein_2578,GCF_003018795.1;protein_1308,GCF_048568975.1;protein_2827,GCF_048571415.1;protein_3153,GCF_048571795.1;protein_3131,GCF_052884615.1;protein_2455,GCF_014058445.2;protein_2960,GCF_048571305.1;protein_3298,GCF_003018035.1;protein_812,GCF_049265285.1;protein_2460,GCF_048571425.1;protein_3253,GCF_005221885.1;protein_2374,GCF_048571575.1;protein_2499,GCF_048571365.1;protein_3039,GCF_055380415.1;protein_2489,GCF_004358405.1;protein_869,GCF_003018055.1;protein_953,GCF_048569015.1;protein_3289,GCF_000019645.1;protein_1454,GCF_048571635.1;protein_3124,GCF_048571475.1;protein_2410,GCF_048569055.1;protein_3151,GCF_048571625.1;protein_867,GCF_032382315.1;protein_2669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCF_033971045.1;protein_1002,GCF_003018555.1;protein_3745,GCF_025995675.1;protein_2446,GCF_048568955.1;protein_2609,GCF_003018455.1;protein_2765,GCF_048571565.1;protein_2763,GCF_048571525.1;protein_3309,GCF_003018575.1;protein_1167,GCF_053078305.1;protein_2603,GCF_044324875.1;protein_3088,GCF_048571685.1;protein_3216,GCF_041884965.1;protein_2444,GCF_003966465.1;protein_2368,GCF_000008865.2;protein_2221,GCF_027925505.1;protein_2200,GCF_055379255.1;protein_2288,GCF_048571515.1;protein_3217,GCF_055386975.1;protein_2426,GCF_048571645.1;protein_2783,GCF_048571315.1;protein_3046,GCF_011996085.1;protein_2614,GCF_004358365.1;protein_5396,GCF_013357365.1;protein_409,GCF_048571615.1;protein_2512,GCF_027925825.1;protein_2635,GCF_048571805.1;protein_2791,GCF_049266435.1;protein_2461,GCF_048571835.1;protein_3737,GCF_041879485.1;protein_3124,GCF_000210475.1;protein_1807,GCF_048571655.1;protein_3230,GCF_000010385.1;protein_1814,GCF_027925685.1;protein_2426,GCF_027925785.1;protein_2437,GCF_027925565.1;protein_2510,GCF_002853715.1;protein_2190,GCF_048568945.1;protein_2765,GCF_048571535.1;protein_3079,GCF_051012485.1;protein_2772,GCF_027925805.1;protein_2532,GCF_037539565.1;protein_1003,GCF_024300685.1;protein_3329,GCF_048571455.1;protein_3235,GCF_048568995.1;protein_2609,GCF_003697165.2;protein_2226,GCF_048571785.1;protein_5699,GCF_048571775.1;protein_2476,GCF_003018895.1;protein_4338,GCF_003018135.1;protein_1158,GCF_000013265.1;protein_1773,GCF_027925845.1;protein_2453,GCF_048571815.1;protein_2579,GCF_003018795.1;protein_1307,GCF_048568975.1;protein_2826,GCF_048571415.1;protein_3152,GCF_048571795.1;protein_3130,GCF_052884615.1;protein_2456,GCF_014058445.2;protein_2959,GCF_048571305.1;protein_3297,GCF_003018035.1;protein_813,GCF_049265285.1;protein_2461,GCF_048571425.1;protein_3252,GCF_005221885.1;protein_2375,GCF_048571575.1;protein_2500,GCF_048571365.1;protein_3038,GCF_055380415.1;protein_2488,GCF_004358405.1;protein_868,GCF_003018055.1;protein_952,GCF_048569015.1;protein_3288,GCF_000019645.1;protein_1455,GCF_048571635.1;protein_3123,GCF_048571475.1;protein_2411,GCF_048569055.1;protein_3150,GCF_048571625.1;protein_866,GCF_032382315.1;protein_2670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCF_033971045.1;protein_1003,GCF_003018555.1;protein_3744,GCF_025995675.1;protein_2445,GCF_048568955.1;protein_2610,GCF_003018455.1;protein_2766,GCF_048571565.1;protein_2764,GCF_048571525.1;protein_3308,GCF_003018575.1;protein_1168,GCF_053078305.1;protein_2604,GCF_044324875.1;protein_3087,GCF_048571685.1;protein_3215,GCF_041884965.1;protein_2445,GCF_003966465.1;protein_2367,GCF_000008865.2;protein_2220,GCF_027925505.1;protein_2199,GCF_055379255.1;protein_2287,GCF_048571515.1;protein_3216,GCF_055386975.1;protein_2425,GCF_048571645.1;protein_2784,GCF_048571315.1;protein_3045,GCF_011996085.1;protein_2615,GCF_004358365.1;protein_5397,GCF_013357365.1;protein_410,GCF_048571615.1;protein_2513,GCF_027925825.1;protein_2634,GCF_048571805.1;protein_2790,GCF_049266435.1;protein_2462,GCF_048571835.1;protein_3738,GCF_041879485.1;protein_3123,GCF_000210475.1;protein_1806,GCF_048571655.1;protein_3229,GCF_000010385.1;protein_1813,GCF_027925685.1;protein_2425,GCF_027925785.1;protein_2436,GCF_027925565.1;protein_2509,GCF_002853715.1;protein_2191,GCF_048568945.1;protein_2766,GCF_048571535.1;protein_3078,GCF_051012485.1;protein_2773,GCF_027925805.1;protein_2531,GCF_037539565.1;protein_1002,GCF_024300685.1;protein_3328,GCF_048571455.1;protein_3234,GCF_048568995.1;protein_2610,GCF_003697165.2;protein_2227,GCF_048571785.1;protein_5700,GCF_048571775.1;protein_2477,GCF_003018895.1;protein_4339,GCF_003018135.1;protein_1159,GCF_000013265.1;protein_1772,GCF_027925845.1;protein_2452,GCF_048571815.1;protein_2580,GCF_003018795.1;protein_1306,GCF_048568975.1;protein_2825,GCF_048571415.1;protein_3151,GCF_048571795.1;protein_3129,GCF_052884615.1;protein_2457,GCF_014058445.2;protein_2958,GCF_048571305.1;protein_3296,GCF_003018035.1;protein_814,GCF_049265285.1;protein_2462,GCF_048571425.1;protein_3251,GCF_005221885.1;protein_2376,GCF_048571575.1;protein_2501,GCF_048571365.1;protein_3037,GCF_055380415.1;protein_2487,GCF_004358405.1;protein_867,GCF_003018055.1;protein_951,GCF_048569015.1;protein_3287,GCF_000019645.1;protein_1456,GCF_048571635.1;protein_3122,GCF_048571475.1;protein_2412,GCF_048569055.1;protein_3149,GCF_048571625.1;protein_865,GCF_032382315.1;protein_2671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCF_033971045.1;protein_1004,GCF_003018555.1;protein_3743,GCF_025995675.1;protein_2444,GCF_048568955.1;protein_2611,GCF_003018455.1;protein_2767,GCF_048571565.1;protein_2765,GCF_048571525.1;protein_3307,GCF_003018575.1;protein_1169,GCF_053078305.1;protein_2605,GCF_044324875.1;protein_3086,GCF_048571685.1;protein_3214,GCF_041884965.1;protein_2446,GCF_003966465.1;protein_2366,GCF_000008865.2;protein_2219,GCF_027925505.1;protein_2198,GCF_055379255.1;protein_2286,GCF_048571515.1;protein_3215,GCF_055386975.1;protein_2424,GCF_048571645.1;protein_2785,GCF_048571315.1;protein_3044,GCF_011996085.1;protein_2616,GCF_004358365.1;protein_5398,GCF_013357365.1;protein_411,GCF_048571615.1;protein_2514,GCF_027925825.1;protein_2633,GCF_048571805.1;protein_2789,GCF_049266435.1;protein_2463,GCF_048571835.1;protein_3739,GCF_041879485.1;protein_3122,GCF_000210475.1;protein_1805,GCF_048571655.1;protein_3228,GCF_000010385.1;protein_1812,GCF_027925685.1;protein_2424,GCF_027925785.1;protein_2435,GCF_027925565.1;protein_2508,GCF_002853715.1;protein_2192,GCF_048568945.1;protein_2767,GCF_048571535.1;protein_3077,GCF_051012485.1;protein_2774,GCF_027925805.1;protein_2530,GCF_037539565.1;protein_1001,GCF_024300685.1;protein_3327,GCF_048571455.1;protein_3233,GCF_048568995.1;protein_2611,GCF_003697165.2;protein_2228,GCF_048571785.1;protein_5701,GCF_048571775.1;protein_2478,GCF_003018895.1;protein_4340,GCF_003018135.1;protein_1160,GCF_000013265.1;protein_1771,GCF_027925845.1;protein_2451,GCF_048571815.1;protein_2581,GCF_003018795.1;protein_1305,GCF_048568975.1;protein_2824,GCF_048571415.1;protein_3150,GCF_048571795.1;protein_3128,GCF_052884615.1;protein_2458,GCF_014058445.2;protein_2957,GCF_048571305.1;protein_3295,GCF_003018035.1;protein_815,GCF_049265285.1;protein_2463,GCF_048571425.1;protein_3250,GCF_005221885.1;protein_2377,GCF_048571575.1;protein_2502,GCF_048571365.1;protein_3036,GCF_055380415.1;protein_2486,GCF_004358405.1;protein_866,GCF_003018055.1;protein_950,GCF_048569015.1;protein_3286,GCF_000019645.1;protein_1457,GCF_048571635.1;protein_3121,GCF_048571475.1;protein_2413,GCF_048569055.1;protein_3148,GCF_048571625.1;protein_864,GCF_032382315.1;protein_2672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCF_033971045.1;protein_1005,GCF_003018555.1;protein_3742,GCF_025995675.1;protein_2443,GCF_048568955.1;protein_2612,GCF_003018455.1;protein_2768,GCF_048571565.1;protein_2766,GCF_048571525.1;protein_3306,GCF_003018575.1;protein_1170,GCF_053078305.1;protein_2606,GCF_044324875.1;protein_3085,GCF_048571685.1;protein_3213,GCF_041884965.1;protein_2447,GCF_003966465.1;protein_2365,GCF_000008865.2;protein_2218,GCF_027925505.1;protein_2197,GCF_055379255.1;protein_2285,GCF_048571515.1;protein_3214,GCF_055386975.1;protein_2423,GCF_048571645.1;protein_2786,GCF_048571315.1;protein_3043,GCF_011996085.1;protein_2617,GCF_004358365.1;protein_5399,GCF_013357365.1;protein_412,GCF_048571615.1;protein_2515,GCF_027925825.1;protein_2632,GCF_048571805.1;protein_2788,GCF_049266435.1;protein_2464,GCF_048571835.1;protein_3740,GCF_041879485.1;protein_3121,GCF_000210475.1;protein_1804,GCF_048571655.1;protein_3227,GCF_000010385.1;protein_1811,GCF_027925685.1;protein_2423,GCF_027925785.1;protein_2434,GCF_027925565.1;protein_2507,GCF_002853715.1;protein_2193,GCF_048568945.1;protein_2768,GCF_048571535.1;protein_3076,GCF_051012485.1;protein_2775,GCF_027925805.1;protein_2529,GCF_037539565.1;protein_1000,GCF_024300685.1;protein_3326,GCF_048571455.1;protein_3232,GCF_048568995.1;protein_2612,GCF_003697165.2;protein_2229,GCF_048571785.1;protein_5702,GCF_048571775.1;protein_2479,GCF_003018895.1;protein_4341,GCF_003018135.1;protein_1161,GCF_000013265.1;protein_1770,GCF_027925845.1;protein_2450,GCF_048571815.1;protein_2582,GCF_003018795.1;protein_1304,GCF_048568975.1;protein_2823,GCF_048571415.1;protein_3149,GCF_048571795.1;protein_3127,GCF_052884615.1;protein_2459,GCF_014058445.2;protein_2956,GCF_048571305.1;protein_3294,GCF_003018035.1;protein_816,GCF_049265285.1;protein_2464,GCF_048571425.1;protein_3249,GCF_005221885.1;protein_2378,GCF_048571575.1;protein_2503,GCF_048571365.1;protein_3035,GCF_055380415.1;protein_2485,GCF_004358405.1;protein_865,GCF_003018055.1;protein_949,GCF_048569015.1;protein_3285,GCF_000019645.1;protein_1458,GCF_048571635.1;protein_3120,GCF_048571475.1;protein_2414,GCF_048569055.1;protein_3147,GCF_048571625.1;protein_863,GCF_032382315.1;protein_2673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
