species,num_strains,iteration,type,size
E_coli,0,0,pan,0
E_coli,0,0,core,0
E_coli,5,0,pan,8704
E_coli,5,0,core,3802
E_coli,5,1,pan,9048
E_coli,5,1,core,3647
E_coli,5,2,pan,8863
E_coli,5,2,core,4594
E_coli,5,3,pan,8740
E_coli,5,3,core,3620
E_coli,5,4,pan,8695
E_coli,5,4,core,3851
E_coli,10,0,pan,11121
E_coli,10,0,core,3846
E_coli,10,1,pan,11085
E_coli,10,1,core,3790
E_coli,10,2,pan,11179
E_coli,10,2,core,3604
E_coli,10,3,pan,10274
E_coli,10,3,core,3686
E_coli,10,4,pan,10914
E_coli,10,4,core,3650
E_coli,15,0,pan,12944
E_coli,15,0,core,3574
E_coli,15,1,pan,14445
E_coli,15,1,core,4323
E_coli,15,2,pan,10623
E_coli,15,2,core,3373
E_coli,15,3,pan,10794
E_coli,15,3,core,3205
E_coli,15,4,pan,11116
E_coli,15,4,core,3514
E_coli,20,0,pan,11921
E_coli,20,0,core,3211
E_coli,20,1,pan,11955
E_coli,20,1,core,3264
E_coli,20,2,pan,13607
E_coli,20,2,core,3338
E_coli,20,3,pan,12716
E_coli,20,3,core,3409
E_coli,20,4,pan,12348
E_coli,20,4,core,3377
E_coli,25,0,pan,13217
E_coli,25,0,core,3262
E_coli,25,1,pan,14125
E_coli,25,1,core,3416
E_coli,25,2,pan,13649
E_coli,25,2,core,3388
E_coli,25,3,pan,12708
E_coli,25,3,core,3414
E_coli,25,4,pan,15544
E_coli,25,4,core,3565
E_coli,30,0,pan,14458
E_coli,30,0,core,3215
E_coli,30,1,pan,14759
E_coli,30,1,core,3302
E_coli,30,2,pan,14491
E_coli,30,2,core,3457
E_coli,30,3,pan,15382
E_coli,30,3,core,3322
E_coli,30,4,pan,12685
E_coli,30,4,core,3287
E_coli,35,0,pan,15482
E_coli,35,0,core,3162
E_coli,35,1,pan,16120
E_coli,35,1,core,3299
E_coli,35,2,pan,18266
E_coli,35,2,core,3427
E_coli,35,3,pan,12716
E_coli,35,3,core,3245
E_coli,35,4,pan,14140
E_coli,35,4,core,3260
E_coli,40,0,pan,13354
E_coli,40,0,core,3155
E_coli,40,1,pan,15808
E_coli,40,1,core,3196
E_coli,40,2,pan,15619
E_coli,40,2,core,3197
E_coli,40,3,pan,15143
E_coli,40,3,core,3092
E_coli,40,4,pan,14440
E_coli,40,4,core,3122
E_coli,45,0,pan,18514
E_coli,45,0,core,3131
E_coli,45,1,pan,15594
E_coli,45,1,core,3161
E_coli,45,2,pan,16531
E_coli,45,2,core,3270
E_coli,45,3,pan,16246
E_coli,45,3,core,3048
E_coli,45,4,pan,15268
E_coli,45,4,core,3137
E_coli,50,0,pan,17478
E_coli,50,0,core,3185
E_coli,50,1,pan,14254
E_coli,50,1,core,3075
E_coli,50,2,pan,15901
E_coli,50,2,core,3245
E_coli,50,3,pan,15941
E_coli,50,3,core,3241
E_coli,50,4,pan,15056
E_coli,50,4,core,3239
E_coli,55,0,pan,14499
E_coli,55,0,core,3027
E_coli,55,1,pan,16983
E_coli,55,1,core,3210
E_coli,55,2,pan,14968
E_coli,55,2,core,3091
E_coli,55,3,pan,20037
E_coli,55,3,core,3062
E_coli,55,4,pan,17276
E_coli,55,4,core,3126
E_coli,60,0,pan,14982
E_coli,60,0,core,3056
E_coli,60,1,pan,17642
E_coli,60,1,core,3064
E_coli,60,2,pan,15653
E_coli,60,2,core,3103
E_coli,60,3,pan,17736
E_coli,60,3,core,3105
E_coli,60,4,pan,14953
E_coli,60,4,core,3072
E_coli,65,0,pan,16389
E_coli,65,0,core,3097
E_coli,65,1,pan,18407
E_coli,65,1,core,2991
E_coli,65,2,pan,19656
E_coli,65,2,core,3165
E_coli,65,3,pan,15834
E_coli,65,3,core,3023
E_coli,65,4,pan,15545
E_coli,65,4,core,3020
E_coli,70,0,pan,15711
E_coli,70,0,core,3018
E_coli,70,1,pan,19433
E_coli,70,1,core,3020
E_coli,70,2,pan,16047
E_coli,70,2,core,3116
E_coli,70,3,pan,15779
E_coli,70,3,core,3009
E_coli,70,4,pan,15675
E_coli,70,4,core,3013
E_coli,75,0,pan,20624
E_coli,75,0,core,3061
E_coli,75,1,pan,16938
E_coli,75,1,core,3034
E_coli,75,2,pan,19838
E_coli,75,2,core,2994
E_coli,75,3,pan,20160
E_coli,75,3,core,3014
E_coli,75,4,pan,15574
E_coli,75,4,core,3113
E_coli,80,0,pan,16684
E_coli,80,0,core,3101
E_coli,80,1,pan,16629
E_coli,80,1,core,2982
E_coli,80,2,pan,16799
E_coli,80,2,core,2986
E_coli,80,3,pan,17519
E_coli,80,3,core,3005
E_coli,80,4,pan,17850
E_coli,80,4,core,3005
E_coli,85,0,pan,16636
E_coli,85,0,core,2976
E_coli,85,1,pan,16724
E_coli,85,1,core,2978
E_coli,85,2,pan,16644
E_coli,85,2,core,2975
E_coli,85,3,pan,17353
E_coli,85,3,core,2980
E_coli,85,4,pan,16626
E_coli,85,4,core,2987
E_coli,90,0,pan,16892
E_coli,90,0,core,2974
E_coli,90,1,pan,17093
E_coli,90,1,core,2975
E_coli,90,2,pan,17023
E_coli,90,2,core,2974
E_coli,90,3,pan,17096
E_coli,90,3,core,2975
E_coli,90,4,pan,16914
E_coli,90,4,core,2974
B_subtilis,0,0,pan,0
B_subtilis,0,0,core,0
B_subtilis,5,0,pan,4867
B_subtilis,5,0,core,3740
B_subtilis,5,1,pan,4915
B_subtilis,5,1,core,3714
B_subtilis,5,2,pan,5300
B_subtilis,5,2,core,3259
B_subtilis,5,3,pan,5086
B_subtilis,5,3,core,3800
B_subtilis,5,4,pan,5324
B_subtilis,5,4,core,3671
B_subtilis,10,0,pan,4895
B_subtilis,10,0,core,3814
B_subtilis,10,1,pan,5896
B_subtilis,10,1,core,3568
B_subtilis,10,2,pan,5826
B_subtilis,10,2,core,3473
B_subtilis,10,3,pan,5870
B_subtilis,10,3,core,3513
B_subtilis,10,4,pan,5573
B_subtilis,10,4,core,3518
B_subtilis,15,0,pan,5954
B_subtilis,15,0,core,3441
B_subtilis,15,1,pan,5955
B_subtilis,15,1,core,3520
B_subtilis,15,2,pan,5501
B_subtilis,15,2,core,3524
B_subtilis,15,3,pan,5325
B_subtilis,15,3,core,3540
B_subtilis,15,4,pan,5545
B_subtilis,15,4,core,3431
B_subtilis,20,0,pan,6105
B_subtilis,20,0,core,2864
B_subtilis,20,1,pan,5892
B_subtilis,20,1,core,3580
B_subtilis,20,2,pan,6557
B_subtilis,20,2,core,3443
B_subtilis,20,3,pan,5931
B_subtilis,20,3,core,3253
B_subtilis,20,4,pan,5694
B_subtilis,20,4,core,3203
B_subtilis,25,0,pan,5992
B_subtilis,25,0,core,3410
B_subtilis,25,1,pan,6270
B_subtilis,25,1,core,2957
B_subtilis,25,2,pan,5897
B_subtilis,25,2,core,2719
B_subtilis,25,3,pan,6009
B_subtilis,25,3,core,3553
B_subtilis,25,4,pan,6664
B_subtilis,25,4,core,2634
B_subtilis,30,0,pan,6120
B_subtilis,30,0,core,3516
B_subtilis,30,1,pan,6127
B_subtilis,30,1,core,3419
B_subtilis,30,2,pan,6390
B_subtilis,30,2,core,3130
B_subtilis,30,3,pan,6042
B_subtilis,30,3,core,2688
B_subtilis,30,4,pan,5908
B_subtilis,30,4,core,3333
B_subtilis,35,0,pan,6410
B_subtilis,35,0,core,2895
B_subtilis,35,1,pan,6256
B_subtilis,35,1,core,2908
B_subtilis,35,2,pan,6565
B_subtilis,35,2,core,2669
B_subtilis,35,3,pan,6559
B_subtilis,35,3,core,3134
B_subtilis,35,4,pan,6357
B_subtilis,35,4,core,2796
B_subtilis,40,0,pan,6080
B_subtilis,40,0,core,3226
B_subtilis,40,1,pan,6550
B_subtilis,40,1,core,3333
B_subtilis,40,2,pan,6787
B_subtilis,40,2,core,2694
B_subtilis,40,3,pan,6633
B_subtilis,40,3,core,2871
B_subtilis,40,4,pan,6125
B_subtilis,40,4,core,2726
B_subtilis,45,0,pan,6683
B_subtilis,45,0,core,2636
B_subtilis,45,1,pan,6416
B_subtilis,45,1,core,2781
B_subtilis,45,2,pan,6502
B_subtilis,45,2,core,2843
B_subtilis,45,3,pan,6536
B_subtilis,45,3,core,2747
B_subtilis,45,4,pan,6269
B_subtilis,45,4,core,3047
B_subtilis,50,0,pan,6520
B_subtilis,50,0,core,2840
B_subtilis,50,1,pan,6171
B_subtilis,50,1,core,3309
B_subtilis,50,2,pan,6717
B_subtilis,50,2,core,2724
B_subtilis,50,3,pan,6379
B_subtilis,50,3,core,2796
B_subtilis,50,4,pan,6421
B_subtilis,50,4,core,3071
B_subtilis,55,0,pan,6683
B_subtilis,55,0,core,2820
B_subtilis,55,1,pan,6419
B_subtilis,55,1,core,2892
B_subtilis,55,2,pan,6765
B_subtilis,55,2,core,2865
B_subtilis,55,3,pan,6696
B_subtilis,55,3,core,2502
B_subtilis,55,4,pan,6979
B_subtilis,55,4,core,2660
B_subtilis,60,0,pan,6352
B_subtilis,60,0,core,2860
B_subtilis,60,1,pan,6484
B_subtilis,60,1,core,2574
B_subtilis,60,2,pan,6458
B_subtilis,60,2,core,2511
B_subtilis,60,3,pan,6343
B_subtilis,60,3,core,2608
B_subtilis,60,4,pan,6424
B_subtilis,60,4,core,2517
B_subtilis,65,0,pan,6990
B_subtilis,65,0,core,2520
B_subtilis,65,1,pan,6578
B_subtilis,65,1,core,2536
B_subtilis,65,2,pan,6497
B_subtilis,65,2,core,2485
B_subtilis,65,3,pan,6680
B_subtilis,65,3,core,2700
B_subtilis,65,4,pan,6489
B_subtilis,65,4,core,2754
B_subtilis,70,0,pan,6512
B_subtilis,70,0,core,2577
B_subtilis,70,1,pan,6522
B_subtilis,70,1,core,2549
B_subtilis,70,2,pan,6626
B_subtilis,70,2,core,2481
B_subtilis,70,3,pan,6757
B_subtilis,70,3,core,2515
B_subtilis,70,4,pan,6287
B_subtilis,70,4,core,2941
B_subtilis,75,0,pan,6573
B_subtilis,75,0,core,2467
B_subtilis,75,1,pan,6639
B_subtilis,75,1,core,2471
B_subtilis,75,2,pan,6489
B_subtilis,75,2,core,2541
B_subtilis,75,3,pan,6251
B_subtilis,75,3,core,2717
B_subtilis,75,4,pan,6385
B_subtilis,75,4,core,2491
B_subtilis,80,0,pan,6401
B_subtilis,80,0,core,2466
B_subtilis,80,1,pan,6665
B_subtilis,80,1,core,2781
B_subtilis,80,2,pan,6638
B_subtilis,80,2,core,2482
B_subtilis,80,3,pan,6496
B_subtilis,80,3,core,2523
B_subtilis,80,4,pan,6505
B_subtilis,80,4,core,2488
B_subtilis,85,0,pan,6646
B_subtilis,85,0,core,2482
B_subtilis,85,1,pan,6691
B_subtilis,85,1,core,2464
B_subtilis,85,2,pan,6601
B_subtilis,85,2,core,2467
B_subtilis,85,3,pan,6625
B_subtilis,85,3,core,2494
B_subtilis,85,4,pan,6564
B_subtilis,85,4,core,2477
B_subtilis,90,0,pan,6685
B_subtilis,90,0,core,2466
B_subtilis,90,1,pan,6583
B_subtilis,90,1,core,2466
B_subtilis,90,2,pan,6625
B_subtilis,90,2,core,2464
B_subtilis,90,3,pan,6596
B_subtilis,90,3,core,2466
B_subtilis,90,4,pan,6586
B_subtilis,90,4,core,2466
H_pylori,0,0,pan,0
H_pylori,0,0,core,0
H_pylori,5,0,pan,2041
H_pylori,5,0,core,1272
H_pylori,5,1,pan,2032
H_pylori,5,1,core,1234
H_pylori,5,2,pan,1991
H_pylori,5,2,core,1262
H_pylori,5,3,pan,1975
H_pylori,5,3,core,1267
H_pylori,5,4,pan,1959
H_pylori,5,4,core,1272
H_pylori,10,0,pan,2068
H_pylori,10,0,core,1208
H_pylori,10,1,pan,2291
H_pylori,10,1,core,1206
H_pylori,10,2,pan,2101
H_pylori,10,2,core,1230
H_pylori,10,3,pan,2220
H_pylori,10,3,core,1203
H_pylori,10,4,pan,2077
H_pylori,10,4,core,1237
H_pylori,15,0,pan,2310
H_pylori,15,0,core,1223
H_pylori,15,1,pan,2358
H_pylori,15,1,core,1202
H_pylori,15,2,pan,2272
H_pylori,15,2,core,1202
H_pylori,15,3,pan,2325
H_pylori,15,3,core,1239
H_pylori,15,4,pan,2294
H_pylori,15,4,core,1177
H_pylori,20,0,pan,2513
H_pylori,20,0,core,1190
H_pylori,20,1,pan,2518
H_pylori,20,1,core,1193
H_pylori,20,2,pan,2420
H_pylori,20,2,core,1184
H_pylori,20,3,pan,2418
H_pylori,20,3,core,1208
H_pylori,20,4,pan,2362
H_pylori,20,4,core,1182
H_pylori,25,0,pan,2374
H_pylori,25,0,core,1182
H_pylori,25,1,pan,2624
H_pylori,25,1,core,1186
H_pylori,25,2,pan,2685
H_pylori,25,2,core,1177
H_pylori,25,3,pan,2603
H_pylori,25,3,core,1220
H_pylori,25,4,pan,2626
H_pylori,25,4,core,1173
H_pylori,30,0,pan,2717
H_pylori,30,0,core,1149
H_pylori,30,1,pan,2627
H_pylori,30,1,core,1171
H_pylori,30,2,pan,2538
H_pylori,30,2,core,1170
H_pylori,30,3,pan,2601
H_pylori,30,3,core,1173
H_pylori,30,4,pan,2706
H_pylori,30,4,core,1185
H_pylori,35,0,pan,2746
H_pylori,35,0,core,1167
H_pylori,35,1,pan,2746
H_pylori,35,1,core,1181
H_pylori,35,2,pan,2704
H_pylori,35,2,core,1171
H_pylori,35,3,pan,2646
H_pylori,35,3,core,1161
H_pylori,35,4,pan,2462
H_pylori,35,4,core,1163
H_pylori,40,0,pan,2855
H_pylori,40,0,core,1161
H_pylori,40,1,pan,2663
H_pylori,40,1,core,1168
H_pylori,40,2,pan,2700
H_pylori,40,2,core,1181
H_pylori,40,3,pan,2736
H_pylori,40,3,core,1168
H_pylori,40,4,pan,2751
H_pylori,40,4,core,1167
H_pylori,45,0,pan,2785
H_pylori,45,0,core,1139
H_pylori,45,1,pan,2928
H_pylori,45,1,core,1149
H_pylori,45,2,pan,2793
H_pylori,45,2,core,1154
H_pylori,45,3,pan,2751
H_pylori,45,3,core,1187
H_pylori,45,4,pan,2852
H_pylori,45,4,core,1148
H_pylori,50,0,pan,2897
H_pylori,50,0,core,1161
H_pylori,50,1,pan,2921
H_pylori,50,1,core,1131
H_pylori,50,2,pan,2849
H_pylori,50,2,core,1138
H_pylori,50,3,pan,3031
H_pylori,50,3,core,1148
H_pylori,50,4,pan,2832
H_pylori,50,4,core,1169
H_pylori,55,0,pan,3059
H_pylori,55,0,core,1138
H_pylori,55,1,pan,3088
H_pylori,55,1,core,1135
H_pylori,55,2,pan,2935
H_pylori,55,2,core,1150
H_pylori,55,3,pan,2925
H_pylori,55,3,core,1162
H_pylori,55,4,pan,3016
H_pylori,55,4,core,1136
H_pylori,60,0,pan,2904
H_pylori,60,0,core,1142
H_pylori,60,1,pan,3058
H_pylori,60,1,core,1143
H_pylori,60,2,pan,2999
H_pylori,60,2,core,1151
H_pylori,60,3,pan,3013
H_pylori,60,3,core,1159
H_pylori,60,4,pan,3010
H_pylori,60,4,core,1137
H_pylori,65,0,pan,3003
H_pylori,65,0,core,1151
H_pylori,65,1,pan,3018
H_pylori,65,1,core,1142
H_pylori,65,2,pan,3074
H_pylori,65,2,core,1135
H_pylori,65,3,pan,2989
H_pylori,65,3,core,1137
H_pylori,65,4,pan,3168
H_pylori,65,4,core,1143
H_pylori,70,0,pan,3004
H_pylori,70,0,core,1131
H_pylori,70,1,pan,3203
H_pylori,70,1,core,1119
H_pylori,70,2,pan,3332
H_pylori,70,2,core,1113
H_pylori,70,3,pan,3027
H_pylori,70,3,core,1148
H_pylori,70,4,pan,3159
H_pylori,70,4,core,1119
H_pylori,75,0,pan,3156
H_pylori,75,0,core,1119
H_pylori,75,1,pan,3337
