GCF_051131785.1;protein_0,GCF_016748925.1;protein_1469,GCF_022923775.1;protein_0,GCF_016757595.1;protein_1491,GCF_006338415.1;protein_0,,,,
GCF_051131785.1;protein_1,GCF_016748925.1;protein_1468,GCF_022923775.1;protein_1,GCF_016757595.1;protein_1490,GCF_006338415.1;protein_1,,,,
GCF_051131785.1;protein_10,GCF_016748925.1;protein_1451,GCF_022923775.1;protein_11,GCF_016757595.1;protein_1482,GCF_006338415.1;protein_13,,,,
GCF_051131785.1;protein_100,GCF_016748925.1;protein_1366,GCF_022923775.1;protein_105,GCF_016757595.1;protein_1394,GCF_006338415.1;protein_99,,,,
GCF_051131785.1;protein_1000,GCF_016748925.1;protein_445,,,GCF_006338415.1;protein_979,,,,
GCF_051131785.1;protein_1001,GCF_016748925.1;protein_444,GCF_022923775.1;protein_1001,,GCF_006338415.1;protein_980,,,,
GCF_051131785.1;protein_1002,GCF_016748925.1;protein_443,GCF_022923775.1;protein_1002,,GCF_006338415.1;protein_981,,,,
GCF_051131785.1;protein_1003,GCF_016748925.1;protein_442,GCF_022923775.1;protein_1003,GCF_016757595.1;protein_503,GCF_006338415.1;protein_982,,,,
GCF_051131785.1;protein_1004,GCF_016748925.1;protein_441,GCF_022923775.1;protein_1004,GCF_016757595.1;protein_502,GCF_006338415.1;protein_983,,,,
GCF_051131785.1;protein_1005,GCF_016748925.1;protein_440,GCF_022923775.1;protein_1005,GCF_016757595.1;protein_501,GCF_006338415.1;protein_984,,,,
GCF_051131785.1;protein_1007,GCF_016748925.1;protein_438,GCF_022923775.1;protein_1007,GCF_016757595.1;protein_499,GCF_006338415.1;protein_986,,,,
GCF_051131785.1;protein_1008,GCF_016748925.1;protein_437,GCF_022923775.1;protein_1008,GCF_016757595.1;protein_498,GCF_006338415.1;protein_987,,,,
GCF_051131785.1;protein_1009,GCF_016748925.1;protein_436,GCF_022923775.1;protein_1009,GCF_016757595.1;protein_497,GCF_006338415.1;protein_988,,,,
GCF_051131785.1;protein_101,GCF_016748925.1;protein_1365,GCF_022923775.1;protein_106,GCF_016757595.1;protein_1393,GCF_006338415.1;protein_100,,,,
GCF_051131785.1;protein_1010,GCF_016748925.1;protein_435,GCF_022923775.1;protein_1010,GCF_016757595.1;protein_496,GCF_006338415.1;protein_989,,,,
GCF_016748925.1;protein_434,GCF_016757595.1;protein_495,,GCF_051131785.1;protein_1011,GCF_022923775.1;protein_1011,,,,
GCF_051131785.1;protein_1012,GCF_016748925.1;protein_433,GCF_022923775.1;protein_1012,GCF_016757595.1;protein_494,GCF_006338415.1;protein_991,,,,
GCF_051131785.1;protein_1013,GCF_016748925.1;protein_432,GCF_022923775.1;protein_1013,GCF_016757595.1;protein_493,GCF_006338415.1;protein_992,,,,
GCF_051131785.1;protein_1014,GCF_016748925.1;protein_431,GCF_022923775.1;protein_1014,GCF_016757595.1;protein_492,GCF_006338415.1;protein_993,,,,
GCF_051131785.1;protein_1015,GCF_016748925.1;protein_430,GCF_022923775.1;protein_1015,GCF_016757595.1;protein_491,GCF_006338415.1;protein_994,,,,
GCF_051131785.1;protein_1016,GCF_016748925.1;protein_429,GCF_022923775.1;protein_1016,GCF_016757595.1;protein_490,GCF_006338415.1;protein_995,,,,
GCF_051131785.1;protein_1017,GCF_016748925.1;protein_428,GCF_022923775.1;protein_1017,GCF_016757595.1;protein_489,GCF_006338415.1;protein_996,,,,
GCF_051131785.1;protein_1018,GCF_016748925.1;protein_427,GCF_022923775.1;protein_1018,GCF_016757595.1;protein_488,GCF_006338415.1;protein_997,,,,
GCF_051131785.1;protein_1019,GCF_016748925.1;protein_426,GCF_022923775.1;protein_1019,GCF_016757595.1;protein_487,GCF_006338415.1;protein_998,,,,
GCF_051131785.1;protein_102,GCF_016748925.1;protein_1364,GCF_022923775.1;protein_107,GCF_016757595.1;protein_1392,GCF_006338415.1;protein_101,,,,
GCF_051131785.1;protein_1020,GCF_016748925.1;protein_425,GCF_022923775.1;protein_1020,GCF_016757595.1;protein_486,GCF_006338415.1;protein_999,,,,
