Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Type Material Display Text
50648_A01-3	GCF_900660465.1	GCA_900660465.1	Mycoplasmoides pneumoniae	2104		NCTC10119					GCF_900660465.1-RS_2025_12_13	Complete Genome	2019-01-29		2	assembly from type material
ASM127283v1	GCF_001272835.1	GCA_001272835.1	Mycoplasmoides pneumoniae FH	722438		FH					GCF_001272835.1-RS_2026_02_27	Complete Genome	2015-08-21		1	assembly from type material
ASM212812v1	GCF_002128125.1	GCA_002128125.1	Mycoplasmoides pneumoniae	2104		CO3					GCF_002128125.1-RS_2025_04_07	Complete Genome	2017-05-11		1	
ASM212826v1	GCF_002128265.1	GCA_002128265.1	Mycoplasmoides pneumoniae	2104		519					GCF_002128265.1-RS_2025_04_07	Complete Genome	2017-05-11		1	
ASM4285428v1	GCF_042854285.1	GCA_042854285.1	Mycoplasmoides pneumoniae	2104		TA7750					GCF_042854285.1-RS_2024_10_11	Complete Genome	2024-10-13		1	
ASM994291v1	GCF_009942915.1	GCA_009942915.1	Mycoplasmoides pneumoniae	2104		11-1384					GCF_009942915.1-RS_2026_01_06	Complete Genome	2020-01-29		1	
ASM4284705v1	GCF_042847055.1	GCA_042847055.1	Mycoplasmoides pneumoniae	2104		TA9617					GCF_042847055.1-RS_2024_10_11	Complete Genome	2024-10-13		1	
ASM4284926v1	GCF_042849265.1	GCA_042849265.1	Mycoplasmoides pneumoniae	2104		TA9309					GCF_042849265.1-RS_2024_10_11	Complete Genome	2024-10-13		1	
ASM212800v1	GCF_002128005.1	GCA_002128005.1	Mycoplasmoides pneumoniae	2104		E57					GCF_002128005.1-RS_2025_04_07	Complete Genome	2017-05-11		1	
ASM994215v1	GCF_009942155.1	GCA_009942155.1	Mycoplasmoides pneumoniae	2104		14-637					GCF_009942155.1-RS_2026_03_03	Complete Genome	2020-01-29		1	
ASM4284733v1	GCF_042847335.1	GCA_042847335.1	Mycoplasmoides pneumoniae	2104		TA7396					GCF_042847335.1-RS_2024_10_11	Complete Genome	2024-10-13		1	
ASM993974v1	GCF_009939745.1	GCA_009939745.1	Mycoplasmoides pneumoniae	2104		16-734					GCF_009939745.1-RS_2026_03_03	Complete Genome	2020-01-29		1	
ASM212808v1	GCF_002128085.1	GCA_002128085.1	Mycoplasmoides pneumoniae	2104		RI3					GCF_002128085.1-RS_2025_04_07	Complete Genome	2017-05-11		1	
ASM190170v1	GCF_001901705.1	GCA_001901705.1	Mycoplasmoides pneumoniae	2104		FH 2009					GCF_001901705.1-RS_2026_02_27	Complete Genome	2016-12-13		1	
ASM212828v1	GCF_002128285.1	GCA_002128285.1	Mycoplasmoides pneumoniae	2104		GA3					GCF_002128285.1-RS_2025_04_07	Complete Genome	2017-05-11		1	
ASM212820v1	GCF_002128205.1	GCA_002128205.1	Mycoplasmoides pneumoniae	2104		1006					GCF_002128205.1-RS_2025_04_07	Complete Genome	2017-05-11		1	
ASM994586v1	GCF_009945865.1	GCA_009945865.1	Mycoplasmoides pneumoniae	2104		10-1385					GCF_009945865.1-RS_2026_01_06	Complete Genome	2020-01-29		1	
ASM212810v1	GCF_002128105.1	GCA_002128105.1	Mycoplasmoides pneumoniae	2104		1801					GCF_002128105.1-RS_2025_04_07	Complete Genome	2017-05-11		1	
ASM127287v1	GCF_001272875.1	GCA_001272875.1	Mycoplasmoides pneumoniae	2104		M2192					GCF_001272875.1-RS_2026_02_26	Complete Genome	2015-08-21		1	
ASM212823v1	GCF_002128235.1	GCA_002128235.1	Mycoplasmoides pneumoniae	2104		1134					GCF_002128235.1-RS_2025_04_07	Complete Genome	2017-05-11		1	
ASM212816v1	GCF_002128165.1	GCA_002128165.1	Mycoplasmoides pneumoniae	2104		CO103					GCF_002128165.1-RS_2025_04_07	Complete Genome	2017-05-11		1	
ASM994350v1	GCF_009943505.1	GCA_009943505.1	Mycoplasmoides pneumoniae	2104		11-949					GCF_009943505.1-RS_2026_02_27	Complete Genome	2020-01-29		1	
ASM235571v1	GCF_002355715.1	GCA_002355715.1	Mycoplasmoides pneumoniae	2104		KCH-405					GCF_002355715.1-RS_2026_03_08	Complete Genome	2016-07-04		1	
ASM235569v1	GCF_002355695.1	GCA_002355695.1	Mycoplasmoides pneumoniae	2104		KCH-402					GCF_002355695.1-RS_2026_02_26	Complete Genome	2016-07-04		1	
ASM212818v1	GCF_002128185.1	GCA_002128185.1	Mycoplasmoides pneumoniae	2104		K27					GCF_002128185.1-RS_2025_04_07	Complete Genome	2017-05-11		1	
ASM4284845v1	GCF_042848455.1	GCA_042848455.1	Mycoplasmoides pneumoniae	2104		TA6464					GCF_042848455.1-RS_2024_10_11	Complete Genome	2024-10-13		1	
ASM994757v1	GCF_009947575.1	GCA_009947575.1	Mycoplasmoides pneumoniae	2104		10-1059					GCF_009947575.1-RS_2026_03_03	Complete Genome	2020-01-29		1	
ASM212814v1	GCF_002128145.1	GCA_002128145.1	Mycoplasmoides pneumoniae	2104		FL1					GCF_002128145.1-RS_2025_04_07	Complete Genome	2017-05-11		1	
