GCF_002128025.1;protein_0,GCF_002090235.1;protein_0,GCF_002096015.1;protein_0,GCF_041931755.1;protein_77,GCF_001558175.1;protein_0,,,,,
GCF_002128025.1;protein_1,GCF_002090235.1;protein_1,GCF_002096015.1;protein_1,GCF_041931755.1;protein_78,GCF_001558175.1;protein_1,,,,,
GCF_002128025.1;protein_10,GCF_002090235.1;protein_10,GCF_002096015.1;protein_10,GCF_041931755.1;protein_87,GCF_001558175.1;protein_10,,,,,
GCF_002128025.1;protein_101,GCF_002090235.1;protein_101,GCF_002096015.1;protein_101,GCF_041931755.1;protein_177,GCF_001558175.1;protein_100,,,,,
GCF_002128025.1;protein_102,GCF_002090235.1;protein_102,GCF_002096015.1;protein_102,GCF_041931755.1;protein_178,GCF_001558175.1;protein_101,,,,,
GCF_002128025.1;protein_103,GCF_002090235.1;protein_103,GCF_002096015.1;protein_103,GCF_041931755.1;protein_179,GCF_001558175.1;protein_102,,,,,
GCF_002128025.1;protein_108,GCF_002090235.1;protein_108,GCF_002096015.1;protein_108,GCF_041931755.1;protein_184,GCF_001558175.1;protein_107,,,,,
GCF_002128025.1;protein_109,,,GCF_041931755.1;protein_185,GCF_001558175.1;protein_108,,,,,
GCF_002128025.1;protein_11,GCF_002090235.1;protein_11,GCF_002096015.1;protein_11,GCF_041931755.1;protein_88,GCF_001558175.1;protein_11,,,,,
GCF_002128025.1;protein_110,GCF_002090235.1;protein_110,GCF_002096015.1;protein_110,GCF_041931755.1;protein_186,,,,,,
GCF_002128025.1;protein_111,GCF_002090235.1;protein_111,GCF_002096015.1;protein_111,GCF_041931755.1;protein_187,GCF_001558175.1;protein_111,,,,,
GCF_002128025.1;protein_112,GCF_002090235.1;protein_112,GCF_002096015.1;protein_112,GCF_041931755.1;protein_188,GCF_001558175.1;protein_112,,,,,
GCF_002128025.1;protein_113,GCF_002090235.1;protein_113,GCF_002096015.1;protein_113,GCF_041931755.1;protein_189,GCF_001558175.1;protein_113,,,,,
GCF_002128025.1;protein_114,GCF_002090235.1;protein_114,GCF_002096015.1;protein_114,GCF_041931755.1;protein_190,GCF_001558175.1;protein_114,,,,,
GCF_002128025.1;protein_116,GCF_002090235.1;protein_117,GCF_002096015.1;protein_116,GCF_041931755.1;protein_193,GCF_001558175.1;protein_116,,,,,
GCF_002128025.1;protein_117,GCF_002090235.1;protein_118,GCF_002096015.1;protein_117,GCF_041931755.1;protein_194,GCF_001558175.1;protein_117,,,,,
GCF_002128025.1;protein_118,GCF_002090235.1;protein_119,GCF_002096015.1;protein_118,GCF_041931755.1;protein_195,GCF_001558175.1;protein_118,,,,,
GCF_002128025.1;protein_12,GCF_002090235.1;protein_12,GCF_002096015.1;protein_12,GCF_041931755.1;protein_89,GCF_001558175.1;protein_12,,,,,
GCF_002128025.1;protein_120,GCF_002090235.1;protein_121,GCF_002096015.1;protein_120,GCF_041931755.1;protein_197,GCF_001558175.1;protein_120,,,,,
GCF_002128025.1;protein_121,GCF_002090235.1;protein_122,GCF_002096015.1;protein_121,GCF_041931755.1;protein_198,GCF_001558175.1;protein_121,,,,,
GCF_002128025.1;protein_122,GCF_002090235.1;protein_123,GCF_002096015.1;protein_122,,GCF_001558175.1;protein_122,,,,,
GCF_002128025.1;protein_123,GCF_002090235.1;protein_124,GCF_002096015.1;protein_123,GCF_041931755.1;protein_201,GCF_001558175.1;protein_123,,,,,
GCF_002128025.1;protein_124,GCF_002090235.1;protein_125,GCF_002096015.1;protein_124,GCF_041931755.1;protein_202,GCF_001558175.1;protein_124,,,,,
GCF_002128025.1;protein_125,GCF_002090235.1;protein_126,GCF_002096015.1;protein_125,GCF_041931755.1;protein_203,GCF_001558175.1;protein_125,,,,,
