GCF_004358365.1;protein_0,GCF_048568965.1;protein_3043,GCF_000005845.2;protein_1526,GCF_053078305.1;protein_2869,GCF_048571455.1;protein_2958,,,,,,,,
GCF_004358365.1;protein_1,GCF_048568965.1;protein_3042,GCF_000005845.2;protein_1525,GCF_053078305.1;protein_2870,GCF_048571455.1;protein_2957,,,,,,,,
GCF_004358365.1;protein_10,GCF_048568965.1;protein_3033,GCF_000005845.2;protein_1518,GCF_053078305.1;protein_2879,GCF_048571455.1;protein_2948,,,,,,,,
GCF_004358365.1;protein_100,GCF_048568965.1;protein_2944,GCF_000005845.2;protein_1440,GCF_053078305.1;protein_2970,GCF_048571455.1;protein_2859,,,,,,,,
GCF_004358365.1;protein_1000,GCF_048568965.1;protein_3952,,,GCF_048571455.1;protein_1986,,,,,,,,
GCF_053078305.1;protein_3625,GCF_004358365.1;protein_1005,,GCF_048568965.1;protein_3958,GCF_004358365.1;protein_1069,,,,,,,,
GCF_004358365.1;protein_1006,,,,GCF_048571455.1;protein_1979,,,,,,,,
GCF_004358365.1;protein_1008,,,,GCF_048571455.1;protein_1977,,,,,,,,
GCF_004358365.1;protein_1009,,,,GCF_048571455.1;protein_1976,,,,,,,,
GCF_004358365.1;protein_101,GCF_048568965.1;protein_2943,GCF_000005845.2;protein_1439,GCF_053078305.1;protein_2971,GCF_048571455.1;protein_2858,,,,,,,,
GCF_004358365.1;protein_1010,GCF_048568965.1;protein_1954,,,GCF_048571455.1;protein_1975,,,,,,,,
,GCF_004358365.1;protein_5231,GCF_004358365.1;protein_5561,GCF_048568965.1;protein_3059,GCF_004358365.1;protein_1019,,,,,,,,
GCF_004358365.1;protein_102,GCF_048568965.1;protein_2942,GCF_000005845.2;protein_1438,GCF_053078305.1;protein_2972,GCF_048571455.1;protein_2857,,,,,,,,
GCF_004358365.1;protein_5559,,GCF_004358365.1;protein_5229,GCF_004358365.1;protein_1021,GCF_048568965.1;protein_3061,,,,,,,,
GCF_004358365.1;protein_103,GCF_048568965.1;protein_2941,GCF_000005845.2;protein_1437,GCF_053078305.1;protein_2973,GCF_048571455.1;protein_2856,,,,,,,,
,GCF_048568965.1;protein_2839,GCF_053078305.1;protein_1862,GCF_004358365.1;protein_5543,GCF_004358365.1;protein_1037,,,,,,,,
,GCF_004358365.1;protein_687,GCF_048568965.1;protein_2837,GCF_004358365.1;protein_1039,,,,,,,,,
GCF_004358365.1;protein_104,GCF_048568965.1;protein_2940,GCF_000005845.2;protein_1436,GCF_053078305.1;protein_2974,GCF_048571455.1;protein_2855,,,,,,,,
GCF_048568965.1;protein_2833,GCF_048568965.1;protein_3268,,GCF_048571455.1;protein_1943,GCF_004358365.1;protein_1042,,,,,,,,
GCF_004358365.1;protein_1045,,,,GCF_048571455.1;protein_1940,,,,,,,,
GCF_004358365.1;protein_1046,,,,GCF_048571455.1;protein_1939,,,,,,,,
GCF_004358365.1;protein_105,GCF_048568965.1;protein_2939,GCF_000005845.2;protein_1435,GCF_053078305.1;protein_2975,GCF_048571455.1;protein_2854,,,,,,,,
GCF_004358365.1;protein_1051,,,,GCF_048571455.1;protein_1934,,,,,,,,
GCF_004358365.1;protein_1052,,,,GCF_048571455.1;protein_1933,,,,,,,,
,GCF_004358365.1;protein_1053,GCF_048568965.1;protein_2754,GCF_048571455.1;protein_3083,,,,,,,,,
,GCF_004358365.1;protein_5196,GCF_048568965.1;protein_2360,GCF_004358365.1;protein_1055,,,,,,,,,
GCF_004358365.1;protein_1056,,,,GCF_048571455.1;protein_1929,,,,,,,,
GCF_004358365.1;protein_1057,,,,GCF_048571455.1;protein_1928,,,,,,,,
GCF_004358365.1;protein_1059,,,,GCF_048571455.1;protein_1926,,,,,,,,
GCF_004358365.1;protein_106,GCF_048568965.1;protein_2938,GCF_000005845.2;protein_1434,GCF_053078305.1;protein_2976,GCF_048571455.1;protein_2853,,,,,,,,
GCF_004358365.1;protein_1060,,,,GCF_048571455.1;protein_1925,,,,,,,,
GCF_004358365.1;protein_1061,,,,GCF_048571455.1;protein_1924,,,,,,,,
GCF_004358365.1;protein_1062,,,,GCF_048571455.1;protein_1923,,,,,,,,
,GCF_048568965.1;protein_2812,GCF_004358365.1;protein_1064,GCF_004358365.1;protein_5514,,,,,,,,,
,GCF_048568965.1;protein_2811,GCF_004358365.1;protein_1065,GCF_004358365.1;protein_5513,,,,,,,,,
GCF_004358365.1;protein_1066,,,,GCF_048571455.1;protein_1919,,,,,,,,
GCF_004358365.1;protein_1067,,,,GCF_048571455.1;protein_1918,,,,,,,,
GCF_004358365.1;protein_107,GCF_048568965.1;protein_2937,GCF_000005845.2;protein_1433,GCF_053078305.1;protein_2977,GCF_048571455.1;protein_2852,,,,,,,,
GCF_004358365.1;protein_1070,GCF_048568965.1;protein_3959,,GCF_053078305.1;protein_3626,GCF_048571455.1;protein_1915,,,,,,,,
GCF_004358365.1;protein_1071,GCF_048568965.1;protein_3960,GCF_000005845.2;protein_946,GCF_053078305.1;protein_3627,GCF_048571455.1;protein_1914,,,,,,,,
GCF_004358365.1;protein_1072,GCF_048568965.1;protein_3961,GCF_000005845.2;protein_945,GCF_053078305.1;protein_3628,GCF_048571455.1;protein_1913,,,,,,,,
GCF_004358365.1;protein_1073,GCF_048568965.1;protein_3962,GCF_000005845.2;protein_944,GCF_053078305.1;protein_3629,GCF_048571455.1;protein_1912,,,,,,,,
GCF_004358365.1;protein_1074,GCF_048568965.1;protein_3963,GCF_000005845.2;protein_943,GCF_053078305.1;protein_3630,GCF_048571455.1;protein_1911,,,,,,,,
GCF_004358365.1;protein_1075,GCF_048568965.1;protein_3964,GCF_000005845.2;protein_942,GCF_053078305.1;protein_3631,GCF_048571455.1;protein_1910,,,,,,,,
GCF_004358365.1;protein_1076,GCF_048568965.1;protein_3965,GCF_000005845.2;protein_941,GCF_053078305.1;protein_3632,GCF_048571455.1;protein_1909,,,,,,,,
GCF_004358365.1;protein_1077,GCF_048568965.1;protein_3966,GCF_000005845.2;protein_940,GCF_053078305.1;protein_3633,GCF_048571455.1;protein_1908,,,,,,,,
GCF_004358365.1;protein_1078,GCF_048568965.1;protein_3967,GCF_000005845.2;protein_939,GCF_053078305.1;protein_3634,GCF_048571455.1;protein_1907,,,,,,,,
