Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Type Material Display Text
ASM2599845v1	GCF_025998455.1	GCA_025998455.1	Helicobacter pylori	210		CHC155					GCF_025998455.1-RS_2025_12_09	Complete Genome	2022-10-20		1	assembly from type material
ASM305066v1	GCF_003050665.1	GCA_003050665.1	Helicobacter pylori	210		FDAARGOS_298					GCF_003050665.1-RS_2025_07_16	Complete Genome	2018-04-13		1	assembly from type material
HPATCC43504_01	GCF_004295525.1	GCA_004295525.1	Helicobacter pylori	210		ATCC 43504					GCF_004295525.1-RS_2025_04_16	Complete Genome	2019-01-17		1	assembly from type material
35377_D02	GCF_900478295.1	GCA_900478295.1	Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504 = JCM 12093	102618		NCTC 11637					GCF_900478295.1-RS_2026_02_12	Complete Genome	2018-06-18		1	assembly from type material
ASM1674855v1	GCF_016748555.1	GCA_016748555.1	Helicobacter pylori	210		LIM-010					GCF_016748555.1-RS_2025_04_21	Complete Genome	2021-01-25		1	
ASM1674902v1	GCF_016749025.1	GCA_016749025.1	Helicobacter pylori	210		LIM-006					GCF_016749025.1-RS_2025_04_21	Complete Genome	2021-01-25		1	
ASM784391v1	GCF_007843915.1	GCA_007843915.1	Helicobacter pylori	210		B140					GCF_007843915.1-RS_2025_04_21	Complete Genome	2019-08-05		1	
ASM633740v1	GCF_006337405.1	GCA_006337405.1	Helicobacter pylori	210		19-C-EK1					GCF_006337405.1-RS_2025_04_21	Complete Genome	2019-06-13		1	
ASM633841v1	GCF_006338415.1	GCA_006338415.1	Helicobacter pylori	210		19-A-EK3					GCF_006338415.1-RS_2025_04_21	Complete Genome	2019-06-13		1	
ASM1674817v1	GCF_016748175.1	GCA_016748175.1	Helicobacter pylori	210		ASHA-003					GCF_016748175.1-RS_2025_04_21	Complete Genome	2021-01-25		1	
