GCF_000027345.1;protein_0,GCF_900660465.1;protein_731,GCF_041931765.1;protein_77,GCF_002090215.1;protein_0,GCF_001558175.1;protein_0,GCF_002128145.1;protein_0,GCF_001272755.1;protein_0,,GCF_009945865.1;protein_0,GCF_002128285.1;protein_0,GCF_000319655.2;protein_0,GCF_002090295.1;protein_0,GCF_910574535.1;protein_0,GCF_040256845.1;protein_0,GCF_000319675.2;protein_0,GCF_041931565.1;protein_196,GCF_009942155.1;protein_0,GCF_009943805.1;protein_0,GCF_900660465.1;protein_736,GCF_002127985.1;protein_0,GCF_009947205.1;protein_0,GCF_900660465.1;protein_727,GCF_000283755.1;protein_0,GCF_009939765.1;protein_0,GCF_002355715.1;protein_0,GCF_000733995.1;protein_76,GCF_009944335.1;protein_0,GCF_002128265.1;protein_0,GCF_009944725.1;protein_0,GCF_001272775.1;protein_0,GCF_041931755.1;protein_77,GCF_009947575.1;protein_0,GCF_002128045.1;protein_0,,,,
GCF_910574535.1;protein_1,GCF_002128045.1;protein_1,GCF_000319675.2;protein_1,GCF_000027345.1;protein_1,GCF_000283755.1;protein_1,GCF_002127985.1;protein_1,GCF_009947205.1;protein_1,GCF_041931765.1;protein_78,GCF_040256845.1;protein_1,GCF_002128265.1;protein_1,GCF_041931565.1;protein_197,GCF_009944725.1;protein_1,GCF_002128145.1;protein_1,GCF_001558175.1;protein_1,GCF_009942155.1;protein_1,GCF_041931755.1;protein_78,GCF_001272775.1;protein_1,GCF_009939765.1;protein_1,GCF_002355715.1;protein_1,GCF_900660465.1;protein_726,GCF_002128285.1;protein_1,GCF_009944335.1;protein_1,GCF_001272755.1;protein_1,GCF_000733995.1;protein_77,GCF_002090215.1;protein_1,GCF_000319655.2;protein_1,GCF_009947575.1;protein_1,GCF_009945865.1;protein_1,GCF_009943805.1;protein_1,GCF_002090295.1;protein_1,,,,,,,
GCF_910574535.1;protein_10,GCF_002128045.1;protein_10,GCF_000319675.2;protein_10,GCF_000027345.1;protein_10,GCF_000283755.1;protein_10,GCF_002127985.1;protein_10,GCF_009947205.1;protein_10,GCF_041931765.1;protein_87,GCF_040256845.1;protein_10,GCF_002128265.1;protein_10,GCF_041931565.1;protein_206,GCF_009944725.1;protein_10,GCF_002128145.1;protein_10,GCF_001558175.1;protein_10,GCF_009942155.1;protein_10,GCF_041931755.1;protein_87,GCF_001272775.1;protein_10,GCF_009939765.1;protein_10,GCF_002355715.1;protein_10,GCF_900660465.1;protein_717,GCF_002128285.1;protein_10,GCF_009944335.1;protein_10,GCF_001272755.1;protein_10,GCF_000733995.1;protein_86,GCF_002090215.1;protein_10,GCF_000319655.2;protein_10,GCF_009947575.1;protein_10,GCF_009945865.1;protein_10,GCF_009943805.1;protein_10,GCF_002090295.1;protein_10,,,,,,,
GCF_910574535.1;protein_101,GCF_002128045.1;protein_100,GCF_000319675.2;protein_100,GCF_000027345.1;protein_101,GCF_000283755.1;protein_100,GCF_002127985.1;protein_101,GCF_009947205.1;protein_101,GCF_041931765.1;protein_178,GCF_040256845.1;protein_100,GCF_002128265.1;protein_100,GCF_041931565.1;protein_297,GCF_009944725.1;protein_101,GCF_002128145.1;protein_101,GCF_001558175.1;protein_100,GCF_009942155.1;protein_100,GCF_041931755.1;protein_177,GCF_001272775.1;protein_101,GCF_009939765.1;protein_101,GCF_002355715.1;protein_100,GCF_900660465.1;protein_626,GCF_002128285.1;protein_101,GCF_009944335.1;protein_101,GCF_001272755.1;protein_101,GCF_000733995.1;protein_177,GCF_002090215.1;protein_100,GCF_000319655.2;protein_101,GCF_009947575.1;protein_101,GCF_009945865.1;protein_102,GCF_009943805.1;protein_101,GCF_002090295.1;protein_101,,,,,,,
GCF_910574535.1;protein_102,GCF_002128045.1;protein_101,GCF_000319675.2;protein_101,,,GCF_002127985.1;protein_102,GCF_009947205.1;protein_102,GCF_041931765.1;protein_179,GCF_040256845.1;protein_101,GCF_002128265.1;protein_101,GCF_041931565.1;protein_298,GCF_009944725.1;protein_102,GCF_002128145.1;protein_102,GCF_001558175.1;protein_101,GCF_009942155.1;protein_101,GCF_041931755.1;protein_178,GCF_001272775.1;protein_102,GCF_009939765.1;protein_102,GCF_002355715.1;protein_101,GCF_900660465.1;protein_625,GCF_002128285.1;protein_102,GCF_009944335.1;protein_102,GCF_001272755.1;protein_102,GCF_000733995.1;protein_178,GCF_002090215.1;protein_101,GCF_000319655.2;protein_102,GCF_009947575.1;protein_102,GCF_009945865.1;protein_103,GCF_009943805.1;protein_102,GCF_002090295.1;protein_102,,,,,,,
GCF_910574535.1;protein_103,GCF_002128045.1;protein_102,GCF_000319675.2;protein_102,GCF_000027345.1;protein_104,GCF_000283755.1;protein_103,GCF_002127985.1;protein_103,GCF_009947205.1;protein_103,GCF_041931765.1;protein_180,GCF_040256845.1;protein_102,GCF_002128265.1;protein_102,GCF_041931565.1;protein_299,GCF_009944725.1;protein_103,GCF_002128145.1;protein_103,GCF_001558175.1;protein_102,GCF_009942155.1;protein_102,GCF_041931755.1;protein_179,GCF_001272775.1;protein_103,GCF_009939765.1;protein_103,GCF_002355715.1;protein_102,GCF_900660465.1;protein_624,GCF_002128285.1;protein_103,GCF_009944335.1;protein_103,GCF_001272755.1;protein_103,GCF_000733995.1;protein_179,GCF_002090215.1;protein_102,GCF_000319655.2;protein_103,GCF_009947575.1;protein_103,GCF_009945865.1;protein_104,GCF_009943805.1;protein_103,GCF_002090295.1;protein_103,,,,,,,
GCF_000319655.2;protein_108,GCF_001272755.1;protein_108,GCF_041931765.1;protein_185,GCF_041931565.1;protein_304,GCF_009944725.1;protein_108,,GCF_002128145.1;protein_108,GCF_009947205.1;protein_108,GCF_009939765.1;protein_108,GCF_001558175.1;protein_107,GCF_009945865.1;protein_109,GCF_002127985.1;protein_108,GCF_002128045.1;protein_107,GCF_000027345.1;protein_109,GCF_910574535.1;protein_108,GCF_041931755.1;protein_184,GCF_009944335.1;protein_108,GCF_009943805.1;protein_108,GCF_000319675.2;protein_107,GCF_001272775.1;protein_108,GCF_002128265.1;protein_107,GCF_009942155.1;protein_107,GCF_002090295.1;protein_108,GCF_040256845.1;protein_107,GCF_000733995.1;protein_184,GCF_002355715.1;protein_107,GCF_002128285.1;protein_108,GCF_009947575.1;protein_108,GCF_002090215.1;protein_107,GCF_000283755.1;protein_108,,,,,,,
GCF_910574535.1;protein_109,GCF_002128045.1;protein_521,GCF_000319675.2;protein_522,GCF_000027345.1;protein_110,,GCF_002127985.1;protein_523,GCF_009947205.1;protein_109,GCF_041931765.1;protein_602,GCF_040256845.1;protein_524,,GCF_041931565.1;protein_1,GCF_009944725.1;protein_388,GCF_002128145.1;protein_522,GCF_001558175.1;protein_525,,GCF_041931755.1;protein_602,GCF_001272775.1;protein_525,GCF_009939765.1;protein_524,,,,GCF_009944335.1;protein_522,GCF_001272755.1;protein_523,GCF_000733995.1;protein_600,GCF_002090215.1;protein_108,,GCF_009947575.1;protein_523,,GCF_009943805.1;protein_523,GCF_002090295.1;protein_109,,,,,,,
GCF_910574535.1;protein_11,GCF_002128045.1;protein_11,GCF_000319675.2;protein_11,GCF_000027345.1;protein_11,GCF_000283755.1;protein_11,GCF_002127985.1;protein_11,GCF_009947205.1;protein_11,GCF_041931765.1;protein_88,GCF_040256845.1;protein_11,GCF_002128265.1;protein_11,GCF_041931565.1;protein_207,GCF_009944725.1;protein_11,GCF_002128145.1;protein_11,GCF_001558175.1;protein_11,GCF_009942155.1;protein_11,GCF_041931755.1;protein_88,GCF_001272775.1;protein_11,GCF_009939765.1;protein_11,GCF_002355715.1;protein_11,GCF_900660465.1;protein_716,GCF_002128285.1;protein_11,GCF_009944335.1;protein_11,GCF_001272755.1;protein_11,GCF_000733995.1;protein_87,GCF_002090215.1;protein_11,GCF_000319655.2;protein_11,GCF_009947575.1;protein_11,GCF_009945865.1;protein_11,GCF_009943805.1;protein_11,GCF_002090295.1;protein_11,,,,,,,
GCF_910574535.1;protein_110,,,GCF_000027345.1;protein_111,,,GCF_009947205.1;protein_110,GCF_041931765.1;protein_187,,,GCF_041931565.1;protein_306,,,,,GCF_041931755.1;protein_186,,,,,,,,,GCF_002090215.1;protein_109,,,,,GCF_002090295.1;protein_110,,,,,,,
GCF_910574535.1;protein_111,GCF_002128045.1;protein_111,GCF_000319675.2;protein_111,GCF_000027345.1;protein_112,GCF_000283755.1;protein_112,GCF_002127985.1;protein_112,GCF_009947205.1;protein_111,GCF_041931765.1;protein_188,GCF_040256845.1;protein_111,GCF_002128265.1;protein_111,GCF_041931565.1;protein_307,GCF_009944725.1;protein_112,GCF_002128145.1;protein_112,GCF_001558175.1;protein_111,GCF_009942155.1;protein_111,GCF_041931755.1;protein_187,GCF_001272775.1;protein_112,GCF_009939765.1;protein_112,GCF_002355715.1;protein_111,GCF_900660465.1;protein_615,GCF_002128285.1;protein_112,GCF_009944335.1;protein_112,GCF_001272755.1;protein_112,GCF_000733995.1;protein_188,GCF_002090215.1;protein_110,GCF_000319655.2;protein_112,GCF_009947575.1;protein_112,GCF_009945865.1;protein_113,GCF_009943805.1;protein_112,GCF_002090295.1;protein_111,,,,,,,
