GCF_002953555.1,GCF_010917155.1,GCF_003050665.1,GCF_019974055.1,GCF_022923035.1,GCF_022925215.1,GCF_016748795.1,GCF_017821355.1,GCF_017821275.1,GCF_003636855.2,GCF_030323385.1,GCF_002952575.1,GCF_017821635.1,GCF_006337405.1,GCF_002952635.1,GCF_001653415.1,GCF_022923775.1,GCF_017821475.1,GCF_002906535.1,GCF_051131785.1,GCF_020735805.1,GCF_013122035.1,GCF_002906555.1,GCF_030323485.1,GCF_030062605.1,GCF_022921575.1,GCF_022925945.1,GCF_017821595.1,GCF_002951975.1,GCF_006337745.1
GCF_002953555.1;protein_0,GCF_010917155.1;protein_219,GCF_003050665.1;protein_976,GCF_019974055.1;protein_180,GCF_022923035.1;protein_1451,GCF_022925215.1;protein_1419,GCF_016748795.1;protein_0,GCF_017821355.1;protein_0,GCF_017821275.1;protein_0,GCF_003636855.2;protein_241,GCF_030323385.1;protein_149,GCF_002952575.1;protein_1480,GCF_017821635.1;protein_0,GCF_006337405.1;protein_1518,GCF_002952635.1;protein_1485,GCF_001653415.1;protein_54,GCF_022923775.1;protein_1461,GCF_017821475.1;protein_0,GCF_002906535.1;protein_0,GCF_051131785.1;protein_1461,GCF_020735805.1;protein_571,GCF_013122035.1;protein_183,GCF_002906555.1;protein_0,GCF_030323485.1;protein_1404,GCF_030062605.1;protein_170,GCF_022921575.1;protein_1372,GCF_022925945.1;protein_1436,GCF_017821595.1;protein_0,GCF_002951975.1;protein_1481,GCF_006337745.1;protein_1491
GCF_002953555.1;protein_1,GCF_010917155.1;protein_218,GCF_003050665.1;protein_977,GCF_019974055.1;protein_179,GCF_022923035.1;protein_1450,GCF_022925215.1;protein_1418,GCF_016748795.1;protein_1,GCF_017821355.1;protein_1,GCF_017821275.1;protein_1,GCF_003636855.2;protein_240,GCF_030323385.1;protein_150,GCF_002952575.1;protein_1479,GCF_017821635.1;protein_1,GCF_006337405.1;protein_1517,GCF_002952635.1;protein_1484,GCF_001653415.1;protein_55,GCF_022923775.1;protein_1460,GCF_017821475.1;protein_1,GCF_002906535.1;protein_1,GCF_051131785.1;protein_1460,GCF_020735805.1;protein_572,GCF_013122035.1;protein_184,GCF_002906555.1;protein_1,GCF_030323485.1;protein_1403,GCF_030062605.1;protein_171,GCF_022921575.1;protein_1373,GCF_022925945.1;protein_1435,GCF_017821595.1;protein_1,GCF_002951975.1;protein_1480,GCF_006337745.1;protein_1490
GCF_002953555.1;protein_10,GCF_010917155.1;protein_209,GCF_003050665.1;protein_986,GCF_019974055.1;protein_170,GCF_022923035.1;protein_1441,GCF_022925215.1;protein_1409,GCF_016748795.1;protein_10,GCF_017821355.1;protein_10,GCF_017821275.1;protein_10,GCF_003636855.2;protein_231,GCF_030323385.1;protein_159,GCF_002952575.1;protein_1470,GCF_017821635.1;protein_10,GCF_006337405.1;protein_1508,GCF_002952635.1;protein_1475,GCF_001653415.1;protein_64,GCF_022923775.1;protein_1451,GCF_017821475.1;protein_10,GCF_002906535.1;protein_10,GCF_051131785.1;protein_1451,GCF_020735805.1;protein_581,GCF_013122035.1;protein_193,GCF_002906555.1;protein_10,GCF_030323485.1;protein_1394,GCF_030062605.1;protein_180,GCF_022921575.1;protein_1382,GCF_022925945.1;protein_1426,GCF_017821595.1;protein_10,GCF_002951975.1;protein_1471,GCF_006337745.1;protein_1481
GCF_002953555.1;protein_100,GCF_010917155.1;protein_120,GCF_003050665.1;protein_1076,GCF_019974055.1;protein_285,GCF_022923035.1;protein_1296,GCF_022925215.1;protein_1275,GCF_016748795.1;protein_99,GCF_017821355.1;protein_99,GCF_017821275.1;protein_98,GCF_003636855.2;protein_142,GCF_030323385.1;protein_254,GCF_002952575.1;protein_1338,GCF_017821635.1;protein_101,GCF_006337405.1;protein_1379,GCF_002952635.1;protein_1343,GCF_001653415.1;protein_155,GCF_022923775.1;protein_1346,GCF_017821475.1;protein_98,GCF_002906535.1;protein_99,GCF_051131785.1;protein_1349,GCF_020735805.1;protein_669,GCF_013122035.1;protein_280,GCF_002906555.1;protein_99,GCF_030323485.1;protein_1304,GCF_030062605.1;protein_1125,GCF_022921575.1;protein_1499,GCF_022925945.1;protein_1322,GCF_017821595.1;protein_100,GCF_002951975.1;protein_1339,GCF_006337745.1;protein_1392
GCF_002953555.1;protein_1000,GCF_010917155.1;protein_717,GCF_003050665.1;protein_506,GCF_019974055.1;protein_800,GCF_022923035.1;protein_984,GCF_022925215.1;protein_973,GCF_016748795.1;protein_396,GCF_017821355.1;protein_399,GCF_017821275.1;protein_397,GCF_003636855.2;protein_1402,GCF_030323385.1;protein_559,GCF_002952575.1;protein_1043,GCF_017821635.1;protein_405,GCF_006337405.1;protein_1033,GCF_002952635.1;protein_1048,GCF_001653415.1;protein_464,GCF_022923775.1;protein_1045,GCF_017821475.1;protein_397,GCF_002906535.1;protein_998,GCF_051131785.1;protein_1045,GCF_020735805.1;protein_973,GCF_013122035.1;protein_581,GCF_002906555.1;protein_997,GCF_030323485.1;protein_1000,GCF_030062605.1;protein_337,GCF_022921575.1;protein_1003,GCF_022925945.1;protein_1013,GCF_017821595.1;protein_398,GCF_002951975.1;protein_1043,GCF_006337745.1;protein_500
GCF_002953555.1;protein_1001,GCF_010917155.1;protein_716,GCF_003050665.1;protein_507,GCF_019974055.1;protein_799,GCF_022923035.1;protein_985,GCF_022925215.1;protein_974,GCF_016748795.1;protein_395,GCF_017821355.1;protein_398,GCF_017821275.1;protein_396,GCF_003636855.2;protein_1403,GCF_030323385.1;protein_558,GCF_002952575.1;protein_1044,GCF_017821635.1;protein_404,GCF_006337405.1;protein_1034,GCF_002952635.1;protein_1049,GCF_001653415.1;protein_463,GCF_022923775.1;protein_1046,GCF_017821475.1;protein_396,GCF_002906535.1;protein_999,GCF_051131785.1;protein_1046,GCF_020735805.1;protein_972,GCF_013122035.1;protein_580,GCF_002906555.1;protein_998,GCF_030323485.1;protein_1001,GCF_030062605.1;protein_336,GCF_022921575.1;protein_1004,GCF_022925945.1;protein_1014,GCF_017821595.1;protein_397,GCF_002951975.1;protein_1044,GCF_006337745.1;protein_499
GCF_002953555.1;protein_1002,GCF_010917155.1;protein_715,GCF_003050665.1;protein_508,GCF_019974055.1;protein_798,GCF_022923035.1;protein_986,GCF_022925215.1;protein_975,GCF_016748795.1;protein_394,GCF_017821355.1;protein_397,GCF_017821275.1;protein_395,GCF_003636855.2;protein_1404,GCF_030323385.1;protein_557,GCF_002952575.1;protein_1045,GCF_017821635.1;protein_403,GCF_006337405.1;protein_1035,GCF_002952635.1;protein_1050,GCF_001653415.1;protein_462,GCF_022923775.1;protein_1047,GCF_017821475.1;protein_395,GCF_002906535.1;protein_1000,GCF_051131785.1;protein_1047,GCF_020735805.1;protein_971,GCF_013122035.1;protein_579,GCF_002906555.1;protein_999,GCF_030323485.1;protein_1002,GCF_030062605.1;protein_335,GCF_022921575.1;protein_1005,GCF_022925945.1;protein_1015,GCF_017821595.1;protein_396,GCF_002951975.1;protein_1045,GCF_006337745.1;protein_498
GCF_002953555.1;protein_1003,GCF_010917155.1;protein_714,GCF_003050665.1;protein_509,GCF_019974055.1;protein_797,GCF_022923035.1;protein_987,GCF_022925215.1;protein_976,GCF_016748795.1;protein_393,GCF_017821355.1;protein_396,GCF_017821275.1;protein_394,GCF_003636855.2;protein_1405,GCF_030323385.1;protein_556,GCF_002952575.1;protein_1046,GCF_017821635.1;protein_402,GCF_006337405.1;protein_1036,GCF_002952635.1;protein_1051,GCF_001653415.1;protein_461,GCF_022923775.1;protein_1048,GCF_017821475.1;protein_394,GCF_002906535.1;protein_1001,GCF_051131785.1;protein_1048,GCF_020735805.1;protein_970,GCF_013122035.1;protein_578,GCF_002906555.1;protein_1000,GCF_030323485.1;protein_1003,GCF_030062605.1;protein_334,GCF_022921575.1;protein_1006,GCF_022925945.1;protein_1016,GCF_017821595.1;protein_395,GCF_002951975.1;protein_1046,GCF_006337745.1;protein_497
GCF_002953555.1;protein_1004,GCF_010917155.1;protein_713,GCF_003050665.1;protein_510,GCF_019974055.1;protein_796,GCF_022923035.1;protein_988,GCF_022925215.1;protein_977,GCF_016748795.1;protein_392,GCF_017821355.1;protein_395,GCF_017821275.1;protein_393,GCF_003636855.2;protein_1406,GCF_030323385.1;protein_555,GCF_002952575.1;protein_1047,GCF_017821635.1;protein_401,GCF_006337405.1;protein_1037,GCF_002952635.1;protein_1052,GCF_001653415.1;protein_460,GCF_022923775.1;protein_1049,GCF_017821475.1;protein_393,GCF_002906535.1;protein_1002,GCF_051131785.1;protein_1049,GCF_020735805.1;protein_969,GCF_013122035.1;protein_577,GCF_002906555.1;protein_1001,GCF_030323485.1;protein_1004,GCF_030062605.1;protein_333,GCF_022921575.1;protein_1007,GCF_022925945.1;protein_1017,GCF_017821595.1;protein_394,GCF_002951975.1;protein_1047,GCF_006337745.1;protein_496
GCF_002953555.1;protein_1005,GCF_010917155.1;protein_712,GCF_003050665.1;protein_511,GCF_019974055.1;protein_795,GCF_022923035.1;protein_989,GCF_022925215.1;protein_978,GCF_016748795.1;protein_391,GCF_017821355.1;protein_394,GCF_017821275.1;protein_392,GCF_003636855.2;protein_1407,GCF_030323385.1;protein_554,GCF_002952575.1;protein_1048,GCF_017821635.1;protein_400,GCF_006337405.1;protein_1038,GCF_002952635.1;protein_1053,GCF_001653415.1;protein_459,GCF_022923775.1;protein_1050,GCF_017821475.1;protein_392,GCF_002906535.1;protein_1003,GCF_051131785.1;protein_1050,GCF_020735805.1;protein_968,GCF_013122035.1;protein_576,GCF_002906555.1;protein_1002,GCF_030323485.1;protein_1005,GCF_030062605.1;protein_332,GCF_022921575.1;protein_1008,GCF_022925945.1;protein_1018,GCF_017821595.1;protein_393,GCF_002951975.1;protein_1048,GCF_006337745.1;protein_495
GCF_002953555.1;protein_1006,GCF_010917155.1;protein_711,GCF_003050665.1;protein_512,GCF_019974055.1;protein_794,GCF_022923035.1;protein_990,GCF_022925215.1;protein_979,GCF_016748795.1;protein_390,GCF_017821355.1;protein_393,GCF_017821275.1;protein_391,GCF_003636855.2;protein_1408,GCF_030323385.1;protein_553,GCF_002952575.1;protein_1049,GCF_017821635.1;protein_399,GCF_006337405.1;protein_1039,GCF_002952635.1;protein_1054,GCF_001653415.1;protein_458,GCF_022923775.1;protein_1051,GCF_017821475.1;protein_391,GCF_002906535.1;protein_1004,GCF_051131785.1;protein_1051,GCF_020735805.1;protein_967,GCF_013122035.1;protein_575,GCF_002906555.1;protein_1003,GCF_030323485.1;protein_1006,GCF_030062605.1;protein_331,GCF_022921575.1;protein_1009,GCF_022925945.1;protein_1019,GCF_017821595.1;protein_392,GCF_002951975.1;protein_1049,GCF_006337745.1;protein_494
