GCF_016757555.1,GCF_900478295.1,GCF_021729605.1,GCF_017821635.1,GCF_016755675.1
GCF_016757555.1;protein_0,GCF_900478295.1;protein_187,GCF_021729605.1;protein_0,GCF_017821635.1;protein_0,GCF_016755675.1;protein_0
GCF_016757555.1;protein_1,GCF_900478295.1;protein_188,GCF_021729605.1;protein_1,GCF_017821635.1;protein_1,GCF_016755675.1;protein_1
GCF_016757555.1;protein_10,GCF_900478295.1;protein_197,GCF_021729605.1;protein_10,GCF_017821635.1;protein_10,GCF_016755675.1;protein_9
GCF_016757555.1;protein_100,GCF_900478295.1;protein_291,GCF_021729605.1;protein_99,GCF_017821635.1;protein_105,GCF_016755675.1;protein_100
GCF_016757555.1;protein_1000,GCF_900478295.1;protein_1188,GCF_021729605.1;protein_998,GCF_017821635.1;protein_516,GCF_016755675.1;protein_1008
GCF_016757555.1;protein_1001,GCF_900478295.1;protein_1189,GCF_021729605.1;protein_999,GCF_017821635.1;protein_515,GCF_016755675.1;protein_1009
GCF_016757555.1;protein_1002,GCF_900478295.1;protein_1190,GCF_021729605.1;protein_1000,GCF_017821635.1;protein_514,GCF_016755675.1;protein_1010
GCF_016757555.1;protein_1003,GCF_900478295.1;protein_1191,GCF_021729605.1;protein_1001,GCF_017821635.1;protein_513,GCF_016755675.1;protein_1011
GCF_016757555.1;protein_1004,GCF_900478295.1;protein_1192,GCF_021729605.1;protein_1002,GCF_017821635.1;protein_512,GCF_016755675.1;protein_1012
GCF_016757555.1;protein_1005,GCF_900478295.1;protein_1193,GCF_021729605.1;protein_1003,GCF_017821635.1;protein_511,GCF_016755675.1;protein_1013
GCF_016757555.1;protein_1006,GCF_900478295.1;protein_1194,GCF_021729605.1;protein_1004,GCF_017821635.1;protein_510,GCF_016755675.1;protein_1014
GCF_016757555.1;protein_1007,GCF_900478295.1;protein_1195,GCF_021729605.1;protein_1005,GCF_017821635.1;protein_509,GCF_016755675.1;protein_1015
GCF_016757555.1;protein_1008,GCF_900478295.1;protein_1196,GCF_021729605.1;protein_1006,GCF_017821635.1;protein_508,GCF_016755675.1;protein_1016
GCF_016757555.1;protein_1009,GCF_900478295.1;protein_1197,GCF_021729605.1;protein_1015,GCF_017821635.1;protein_507,GCF_016755675.1;protein_1017
GCF_016757555.1;protein_101,GCF_900478295.1;protein_292,GCF_021729605.1;protein_100,GCF_017821635.1;protein_106,GCF_016755675.1;protein_101
GCF_016757555.1;protein_1010,GCF_900478295.1;protein_1198,GCF_021729605.1;protein_1016,GCF_017821635.1;protein_506,GCF_016755675.1;protein_1018
GCF_016757555.1;protein_1011,GCF_900478295.1;protein_1199,GCF_021729605.1;protein_1017,GCF_017821635.1;protein_505,GCF_016755675.1;protein_1019
GCF_016757555.1;protein_1012,GCF_900478295.1;protein_1200,GCF_021729605.1;protein_1018,GCF_017821635.1;protein_504,GCF_016755675.1;protein_1020
GCF_016757555.1;protein_1013,GCF_900478295.1;protein_1201,GCF_021729605.1;protein_1019,GCF_017821635.1;protein_503,GCF_016755675.1;protein_1021
GCF_016757555.1;protein_1014,GCF_900478295.1;protein_1202,GCF_021729605.1;protein_1020,GCF_017821635.1;protein_502,GCF_016755675.1;protein_1022
GCF_016757555.1;protein_1015,GCF_900478295.1;protein_1203,GCF_021729605.1;protein_1021,GCF_017821635.1;protein_501,GCF_016755675.1;protein_1023
GCF_016757555.1;protein_1016,GCF_900478295.1;protein_1204,GCF_021729605.1;protein_1022,GCF_017821635.1;protein_500,GCF_016755675.1;protein_1024
GCF_016757555.1;protein_1017,GCF_900478295.1;protein_1205,GCF_021729605.1;protein_1023,GCF_017821635.1;protein_499,GCF_016755675.1;protein_1025
GCF_016757555.1;protein_1018,GCF_900478295.1;protein_1206,GCF_021729605.1;protein_1024,GCF_017821635.1;protein_498,GCF_016755675.1;protein_1026
GCF_016757555.1;protein_1019,GCF_900478295.1;protein_1207,GCF_021729605.1;protein_1025,GCF_017821635.1;protein_497,GCF_016755675.1;protein_1027
GCF_016757555.1;protein_102,GCF_900478295.1;protein_293,GCF_021729605.1;protein_101,GCF_017821635.1;protein_107,GCF_016755675.1;protein_102
GCF_016757555.1;protein_1021,GCF_900478295.1;protein_1209,GCF_021729605.1;protein_1027,GCF_017821635.1;protein_495,GCF_016755675.1;protein_1029
