GCF_013122035.1;protein_0,GCF_016755735.1;protein_1490,GCF_022921915.1;protein_0,GCF_010917155.1;protein_939,GCF_010917675.1;protein_1182,GCF_016749215.1;protein_1446,GCF_003939085.1;protein_1377,GCF_000685705.1;protein_1483,GCF_000827025.1;protein_1497,GCF_020735805.1;protein_492,,,,,,,
GCF_013122035.1;protein_1,GCF_016755735.1;protein_1489,GCF_022921915.1;protein_1,GCF_010917155.1;protein_938,GCF_010917675.1;protein_1183,GCF_016749215.1;protein_1445,GCF_003939085.1;protein_1378,GCF_000685705.1;protein_1482,GCF_000827025.1;protein_1496,GCF_020735805.1;protein_491,,,,,,,
GCF_000685705.1;protein_1275,GCF_010917155.1;protein_1100,GCF_010917675.1;protein_1546,GCF_000685705.1;protein_197,GCF_003939085.1;protein_478,GCF_010917675.1;protein_161,,GCF_016749215.1;protein_509,GCF_013122035.1;protein_10,GCF_003939085.1;protein_1394,,,,,,,
GCF_013122035.1;protein_1000,GCF_016755735.1;protein_895,GCF_022921915.1;protein_571,GCF_010917155.1;protein_468,GCF_010917675.1;protein_473,GCF_016749215.1;protein_542,GCF_003939085.1;protein_875,GCF_000685705.1;protein_749,GCF_000827025.1;protein_856,GCF_020735805.1;protein_1416,,,,,,,
GCF_013122035.1;protein_1001,GCF_016755735.1;protein_896,GCF_022921915.1;protein_570,GCF_010917155.1;protein_467,GCF_010917675.1;protein_472,GCF_016749215.1;protein_541,GCF_003939085.1;protein_876,GCF_000685705.1;protein_748,GCF_000827025.1;protein_857,GCF_020735805.1;protein_1417,,,,,,,
GCF_013122035.1;protein_1002,GCF_016755735.1;protein_897,,,,,,,,,,,,,,,
GCF_013122035.1;protein_1003,GCF_016755735.1;protein_898,GCF_022921915.1;protein_568,GCF_010917155.1;protein_464,GCF_010917675.1;protein_469,GCF_016749215.1;protein_538,GCF_003939085.1;protein_878,GCF_000685705.1;protein_745,GCF_000827025.1;protein_859,GCF_020735805.1;protein_1419,,,,,,,
GCF_013122035.1;protein_1004,GCF_016755735.1;protein_899,GCF_022921915.1;protein_567,GCF_010917155.1;protein_463,GCF_010917675.1;protein_468,GCF_016749215.1;protein_537,GCF_003939085.1;protein_879,GCF_000685705.1;protein_744,GCF_000827025.1;protein_860,GCF_020735805.1;protein_1420,,,,,,,
GCF_013122035.1;protein_1005,GCF_016755735.1;protein_900,GCF_022921915.1;protein_566,GCF_010917155.1;protein_462,GCF_010917675.1;protein_467,GCF_016749215.1;protein_536,GCF_003939085.1;protein_880,GCF_000685705.1;protein_743,GCF_000827025.1;protein_861,GCF_020735805.1;protein_1421,,,,,,,
GCF_013122035.1;protein_1006,GCF_016755735.1;protein_901,GCF_022921915.1;protein_565,GCF_010917155.1;protein_461,GCF_010917675.1;protein_466,GCF_016749215.1;protein_535,GCF_003939085.1;protein_881,GCF_000685705.1;protein_742,GCF_000827025.1;protein_862,GCF_020735805.1;protein_1422,,,,,,,
GCF_013122035.1;protein_1009,,,,,,,,GCF_000827025.1;protein_306,GCF_020735805.1;protein_1427,,,,,,,
GCF_013122035.1;protein_101,GCF_016755735.1;protein_266,,,GCF_010917675.1;protein_165,GCF_016749215.1;protein_516,GCF_003939085.1;protein_424,,,,,,,,,,
GCF_013122035.1;protein_1010,GCF_016755735.1;protein_905,GCF_022921915.1;protein_561,GCF_010917155.1;protein_1531,GCF_010917675.1;protein_462,GCF_016749215.1;protein_888,GCF_003939085.1;protein_885,GCF_000685705.1;protein_738,GCF_000827025.1;protein_868,GCF_020735805.1;protein_1428,,,,,,,
