GCF_016748085.1,GCF_002952675.1,GCF_002951975.1,GCF_002952595.1,GCF_001653415.1,GCF_900638475.1,GCF_016749215.1,GCF_019974055.1,GCF_013122055.1,GCF_003050665.1
GCF_016748085.1;protein_0,GCF_002952675.1;protein_1485,GCF_002951975.1;protein_1481,GCF_002952595.1;protein_1480,GCF_001653415.1;protein_54,GCF_900638475.1;protein_153,GCF_016749215.1;protein_0,GCF_019974055.1;protein_180,GCF_013122055.1;protein_185,GCF_003050665.1;protein_976
GCF_016748085.1;protein_1,GCF_002952675.1;protein_1484,GCF_002951975.1;protein_1480,GCF_002952595.1;protein_1479,GCF_001653415.1;protein_55,GCF_900638475.1;protein_154,GCF_016749215.1;protein_1,GCF_019974055.1;protein_179,GCF_013122055.1;protein_186,GCF_003050665.1;protein_977
GCF_016748085.1;protein_10,GCF_002952675.1;protein_1474,GCF_002951975.1;protein_1470,GCF_002952595.1;protein_1469,GCF_001653415.1;protein_65,GCF_900638475.1;protein_163,GCF_016749215.1;protein_11,GCF_019974055.1;protein_169,GCF_013122055.1;protein_196,GCF_003050665.1;protein_987
GCF_016748085.1;protein_100,GCF_002952675.1;protein_1340,GCF_002951975.1;protein_1336,GCF_002952595.1;protein_1335,GCF_001653415.1;protein_158,GCF_900638475.1;protein_251,GCF_016749215.1;protein_106,GCF_019974055.1;protein_288,GCF_013122055.1;protein_285,GCF_003050665.1;protein_1079
GCF_016748085.1;protein_1000,GCF_002952675.1;protein_515,GCF_002951975.1;protein_513,GCF_002952595.1;protein_513,GCF_001653415.1;protein_984,GCF_900638475.1;protein_497,GCF_016749215.1;protein_961,GCF_019974055.1;protein_1185,GCF_013122055.1;protein_1086,GCF_003050665.1;protein_348
GCF_016748085.1;protein_1001,GCF_002952675.1;protein_514,GCF_002951975.1;protein_512,GCF_002952595.1;protein_512,GCF_001653415.1;protein_985,GCF_900638475.1;protein_496,GCF_016749215.1;protein_962,GCF_019974055.1;protein_1186,GCF_013122055.1;protein_1087,GCF_003050665.1;protein_349
GCF_016748085.1;protein_1002,GCF_002952675.1;protein_513,GCF_002951975.1;protein_511,GCF_002952595.1;protein_511,GCF_001653415.1;protein_986,GCF_900638475.1;protein_495,GCF_016749215.1;protein_963,GCF_019974055.1;protein_1187,GCF_013122055.1;protein_1088,GCF_003050665.1;protein_350
GCF_016748085.1;protein_1005,GCF_002952675.1;protein_508,GCF_002951975.1;protein_507,GCF_002952595.1;protein_507,GCF_001653415.1;protein_988,GCF_900638475.1;protein_492,GCF_016749215.1;protein_965,GCF_019974055.1;protein_1188,GCF_013122055.1;protein_1091,GCF_003050665.1;protein_354
GCF_016748085.1;protein_101,GCF_002952675.1;protein_1339,GCF_002951975.1;protein_1335,GCF_002952595.1;protein_1334,GCF_001653415.1;protein_159,GCF_900638475.1;protein_252,GCF_016749215.1;protein_107,GCF_019974055.1;protein_289,GCF_013122055.1;protein_286,GCF_003050665.1;protein_1080
GCF_016748085.1;protein_1012,GCF_002952675.1;protein_428,GCF_002951975.1;protein_427,GCF_002952595.1;protein_427,GCF_001653415.1;protein_1017,GCF_900638475.1;protein_480,GCF_016749215.1;protein_971,GCF_019974055.1;protein_1196,GCF_013122055.1;protein_1138,GCF_003050665.1;protein_368
GCF_016748085.1;protein_1013,GCF_002952675.1;protein_427,GCF_002951975.1;protein_426,GCF_002952595.1;protein_426,GCF_001653415.1;protein_1018,GCF_900638475.1;protein_479,GCF_016749215.1;protein_972,GCF_019974055.1;protein_1197,GCF_013122055.1;protein_1139,GCF_003050665.1;protein_369
GCF_016748085.1;protein_1014,GCF_002952675.1;protein_426,GCF_002951975.1;protein_425,GCF_002952595.1;protein_425,GCF_001653415.1;protein_1019,GCF_900638475.1;protein_478,GCF_016749215.1;protein_973,GCF_019974055.1;protein_1198,GCF_013122055.1;protein_1140,GCF_003050665.1;protein_370
GCF_016748085.1;protein_1015,GCF_002952675.1;protein_425,GCF_002951975.1;protein_424,GCF_002952595.1;protein_424,GCF_001653415.1;protein_1020,GCF_900638475.1;protein_477,GCF_016749215.1;protein_974,GCF_019974055.1;protein_1199,GCF_013122055.1;protein_1141,GCF_003050665.1;protein_371
GCF_016748085.1;protein_1016,GCF_002952675.1;protein_424,GCF_002951975.1;protein_423,GCF_002952595.1;protein_423,GCF_001653415.1;protein_1021,GCF_900638475.1;protein_476,GCF_016749215.1;protein_975,GCF_019974055.1;protein_1200,GCF_013122055.1;protein_1142,GCF_003050665.1;protein_372
GCF_016748085.1;protein_1017,GCF_002952675.1;protein_423,GCF_002951975.1;protein_422,GCF_002952595.1;protein_422,GCF_001653415.1;protein_1022,GCF_900638475.1;protein_475,GCF_016749215.1;protein_976,GCF_019974055.1;protein_1201,GCF_013122055.1;protein_1143,GCF_003050665.1;protein_373
GCF_016748085.1;protein_1018,GCF_002952675.1;protein_422,GCF_002951975.1;protein_421,GCF_002952595.1;protein_421,GCF_001653415.1;protein_1023,GCF_900638475.1;protein_474,GCF_016749215.1;protein_977,GCF_019974055.1;protein_1202,GCF_013122055.1;protein_1144,GCF_003050665.1;protein_374
GCF_016748085.1;protein_1019,GCF_002952675.1;protein_421,GCF_002951975.1;protein_420,GCF_002952595.1;protein_420,GCF_001653415.1;protein_1024,GCF_900638475.1;protein_473,GCF_016749215.1;protein_978,GCF_019974055.1;protein_1203,GCF_013122055.1;protein_1145,GCF_003050665.1;protein_375
GCF_016748085.1;protein_102,GCF_002952675.1;protein_1338,GCF_002951975.1;protein_1334,GCF_002952595.1;protein_1333,GCF_001653415.1;protein_160,GCF_900638475.1;protein_253,GCF_016749215.1;protein_108,GCF_019974055.1;protein_290,GCF_013122055.1;protein_287,GCF_003050665.1;protein_1081
GCF_016748085.1;protein_1020,GCF_002952675.1;protein_420,GCF_002951975.1;protein_419,GCF_002952595.1;protein_419,GCF_001653415.1;protein_1025,GCF_900638475.1;protein_472,GCF_016749215.1;protein_979,GCF_019974055.1;protein_1204,GCF_013122055.1;protein_1146,GCF_003050665.1;protein_376
GCF_016748085.1;protein_1021,GCF_002952675.1;protein_419,GCF_002951975.1;protein_418,GCF_002952595.1;protein_418,GCF_001653415.1;protein_1027,GCF_900638475.1;protein_470,GCF_016749215.1;protein_980,GCF_019974055.1;protein_1205,GCF_013122055.1;protein_1147,GCF_003050665.1;protein_377
