Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Type Material Display Text
ASM904v1	GCF_000009045.1	GCA_000009045.1	Bacillus subtilis subsp. subtilis str. 168	224308		168					Annotation submitted by NCBI RefSeq	Complete Genome	2009-08-12		1	assembly from type material
ASM2953741v2	GCF_029537415.2	GCA_029537415.2	Bacillus subtilis	1423		DSM 10					GCF_029537415.2-RS_2025_04_18	Complete Genome	2025-04-15		2	assembly from type material
ASM205596v1	GCF_002055965.1	GCA_002055965.1	Bacillus subtilis	1423		NCIB 3610					GCF_002055965.1-RS_2025_06_29	Complete Genome	2017-03-21		2	assembly from type material
ASM3791492v1	GCF_037914925.1	GCA_037914925.1	Bacillus subtilis	1423		DSM 10					GCF_037914925.1-RS_2025_04_28	Complete Genome	2024-04-05		2	assembly from type material
ASM2902784v1	GCF_029027845.1	GCA_029027845.1	Bacillus subtilis	1423		NCIB 3610					GCF_029027845.1-RS_2025_05_18	Complete Genome	2023-03-08		2	assembly from type material
ASM1300938v1	GCF_013009385.1	GCA_013009385.1	Bacillus subtilis subsp. subtilis str. 168	224308		168					GCF_013009385.1-RS_2025_06_30	Complete Genome	2020-05-11		1	assembly from type material
ASM1293170v2	GCF_012931705.2	GCA_012931705.2	Bacillus subtilis subsp. subtilis str. 168	224308		168					GCF_012931705.2-RS_2025_06_29	Complete Genome	2020-12-04		1	assembly from type material
ASM3741446v1	GCF_037414465.1	GCA_037414465.1	Bacillus subtilis subsp. subtilis str. 168	224308		168					GCF_037414465.1-RS_2025_04_28	Complete Genome	2024-04-05		1	assembly from type material
ASM3268124v1	GCF_032681245.1	GCA_032681245.1	Bacillus subtilis subsp. subtilis str. 168	224308		168					GCF_032681245.1-RS_2025_01_07	Complete Genome	2023-10-15		1	assembly from type material
ASM78927v1	GCF_000789275.1	GCA_000789275.1	Bacillus subtilis subsp. subtilis str. 168	224308		168					GCF_000789275.1-RS_2025_06_28	Complete Genome	2014-12-04		1	assembly from type material
ASM904v2	GCF_964017255.1	GCA_964017255.1	Bacillus subtilis subsp. subtilis str. 168	224308		168					GCF_964017255.1-RS_2024_07_29	Complete Genome	2024-04-05		1	assembly from type material
ASM2491711v1	GCF_024917115.1	GCA_024917115.1	Bacillus subtilis subsp. subtilis str. 168	224308		168					GCF_024917115.1-RS_2026_02_23	Complete Genome	2022-09-04		1	assembly from type material
ASM169726v1	GCF_001697265.1	GCA_001697265.1	Bacillus subtilis subsp. subtilis	135461		KCTC 3135					GCF_001697265.1-RS_2025_03_23	Complete Genome	2016-08-02		1	assembly from type material
ASM674184v1	GCF_006741845.1	GCA_006741845.1	Bacillus subtilis subsp. subtilis	135461		NBRC 13719					GCF_006741845.1-RS_2025_06_30	Complete Genome	2019-06-11		2	assembly from type material
ASM608879v1	GCF_006088795.1	GCA_006088795.1	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10	535026		NCIB 3610					GCF_006088795.1-RS_2025_06_29	Complete Genome	2019-06-06		2	assembly from type material
ASM34474v1	GCF_000344745.1	GCA_000344745.1	Bacillus subtilis subsp. subtilis 6051-HGW	1147161		6051-HGW					GCF_000344745.1-RS_2025_06_28	Complete Genome	2013-03-06		1	assembly from type material
ASM4727343v1	GCF_047273435.1	GCA_047273435.1	Bacillus subtilis	1423		AKPS2					GCF_047273435.1-RS_2025_01_28	Complete Genome	2025-01-29		1	
ASM5190400v1	GCF_051904005.1	GCA_051904005.1	Bacillus subtilis	1423		8SII					GCF_051904005.1-RS_2025_08_10	Complete Genome	2025-08-10		1	
ASM4105315v1	GCF_041053155.1	GCA_041053155.1	Bacillus subtilis	1423		N33					GCF_041053155.1-RS_2024_08_06	Complete Genome	2024-08-06		1	
ASM3962043v1	GCF_039620435.1	GCA_039620435.1	Bacillus subtilis	1423		FUA2231					GCF_039620435.1-RS_2025_05_25	Complete Genome	2024-05-14		3	
ASM3962118v1	GCF_039621185.1	GCA_039621185.1	Bacillus subtilis	1423		FUA2232					GCF_039621185.1-RS_2025_05_24	Complete Genome	2024-05-14		2	
ASM3962141v1	GCF_039621415.1	GCA_039621415.1	Bacillus subtilis	1423		FUA2233					GCF_039621415.1-RS_2025_05_25	Complete Genome	2024-05-14		3	
ASM2615347v1	GCF_026153475.1	GCA_026153475.1	Bacillus subtilis	1423		MG-1					GCF_026153475.1-RS_2025_02_18	Complete Genome	2022-11-13		1	
NRS6085B	GCF_905310975.2	GCA_905310975.2	Bacillus subtilis	1423					NRS6085		GCF_905310975.2-RS_2024_06_07	Complete Genome	2023-02-02		2	
ASM3005365v1	GCF_030053655.1	GCA_030053655.1	Bacillus subtilis	1423		KRS015					GCF_030053655.1-RS_2025_06_16	Complete Genome	2023-05-21		1	
NRS6116B	GCF_905311385.2	GCA_905311385.2	Bacillus subtilis	1423					NRS6116		GCF_905311385.2-RS_2025_06_12	Complete Genome	2023-02-02		2	
ASM2794239v1	GCF_027942395.1	GCA_027942395.1	Bacillus subtilis	1423		SRCM124333					GCF_027942395.1-RS_2025_03_20	Complete Genome	2023-01-23		1	
ASM2361231v1	GCF_023612315.1	GCA_023612315.1	Bacillus subtilis	1423		pb2441					GCF_023612315.1-RS_2025_06_28	Complete Genome	2022-05-31		1	
ASM991327v1	GCF_009913275.1	GCA_009913275.1	Bacillus subtilis	1423		SRCM102754					GCF_009913275.1-RS_2025_06_29	Complete Genome	2020-01-22		2	
ASM5102896v1	GCF_051028965.1	GCA_051028965.1	Bacillus subtilis	1423		YZ-1					GCF_051028965.1-RS_2025_06_25	Complete Genome	2025-06-26		1	
ASM3287885v1	GCF_032878855.1	GCA_032878855.1	Bacillus subtilis	1423		23-1					GCF_032878855.1-RS_2025_01_08	Complete Genome	2023-10-20		2	
ASM2953693v2	GCF_029536935.2	GCA_029536935.2	Bacillus subtilis	1423		PRO112					GCF_029536935.2-RS_2025_04_18	Complete Genome	2025-04-15		1	
ASM2791235v1	GCF_027912355.1	GCA_027912355.1	Bacillus subtilis	1423		W7					GCF_027912355.1-RS_2025_03_20	Complete Genome	2023-01-18		1	
ASM2516101v1	GCF_025161015.1	GCA_025161015.1	Bacillus subtilis	1423		GL-4					GCF_025161015.1-RS_2026_02_23	Complete Genome	2022-09-13		1	
ASM5102875v1	GCF_051028755.1	GCA_051028755.1	Bacillus subtilis	1423		L1-21					GCF_051028755.1-RS_2025_06_25	Complete Genome	2025-06-26		1	
DSM3257	GCF_029857415.2	GCA_029857415.2	Bacillus subtilis	1423		DSM 3257					GCF_029857415.2-RS_2025_04_30	Complete Genome	2025-05-13		2	
ASM2264702v1	GCF_022647025.1	GCA_022647025.1	Bacillus subtilis	1423		FX-1					GCF_022647025.1-RS_2025_06_02	Complete Genome	2022-03-21		2	
NRS6103B	GCF_905310995.2	GCA_905310995.2	Bacillus subtilis	1423					NRS6103		GCF_905310995.2-RS_2025_06_12	Complete Genome	2023-02-02		1	
ASM2237097v1	GCF_022370975.1	GCA_022370975.1	Bacillus subtilis	1423		ZW					GCF_022370975.1-RS_2025_05_24	Complete Genome	2022-02-23		1	
ASM966217v1	GCF_009662175.1	GCA_009662175.1	Bacillus subtilis	1423		MB9_B1					GCF_009662175.1-RS_2025_06_30	Complete Genome	2019-11-14		1	
NRS6118B	GCF_905311435.2	GCA_905311435.2	Bacillus subtilis	1423					NRS6118		GCF_905311435.2-RS_2025_06_12	Complete Genome	2023-02-02		1	
NRS6183B	GCF_905319155.2	GCA_905319155.2	Bacillus subtilis	1423					NRS6183		GCF_905319155.2-RS_2025_06_12	Complete Genome	2023-02-02		1	
ASM3002839v1	GCF_030028395.1	GCA_030028395.1	Bacillus subtilis	1423		SRCM117797					GCF_030028395.1-RS_2025_06_14	Complete Genome	2023-05-17		3	
BS49Ch	GCF_000953615.1	GCA_000953615.1	Bacillus subtilis	1423		BS49					GCF_000953615.1-RS_2025_06_29	Complete Genome	2014-11-19		1	
NRS6131B	GCF_905315025.2	GCA_905315025.2	Bacillus subtilis	1423					NRS6131		GCF_905315025.2-RS_2025_06_12	Complete Genome	2023-02-02		2	
ASM2874802v1	GCF_028748025.1	GCA_028748025.1	Bacillus subtilis	1423		21855					GCF_028748025.1-RS_2025_05_23	Complete Genome	2023-02-21		1	
ASM2117218v1	GCF_021172185.1	GCA_021172185.1	Bacillus subtilis	1423		NIB353					GCF_021172185.1-RS_2025_03_16	Complete Genome	2021-12-13		6	
